推荐日,推荐排名,极度推荐排名,极度推荐分,涨停基因分,推荐度,代码,名称,推荐日收盘,T+1涨跌%,T+2累计%,T+3累计%,T+4累计%,T+5累计%,T+6累计%,5日最高涨幅%,5日最低涨幅%,6日最高涨幅%,6日最低涨幅%,首次≥3%,首次≥5%,首次≥8%,6日内涨停,6日涨停次数,6日内跌停,6日跌停次数,买入后6日最高涨幅%,买入后6日最低涨幅%,买入后首次≥8%,6日结果,T+1开盘买入,买入价,交易结果,持有交易日,卖出价,净收益%,第一止盈%,第二止盈%,软止损%,硬止损%,首止盈卖出仓位%,首次止盈日,最终清仓日,最高浮盈%,最大浮亏%,交易备注,原T+5收盘%
2025-09-09,1,1,88.5,44.6,44.4,603017,中衡设计,9.79,0.41,0.82,0.51,0.82,1.02,2.25,1.63,-0.61,2.55,-0.61,,,,否,0,否,0,1.83,-1.32,,完整6日,是,9.86,T+6收盘退出,5,9.89,0.1,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.91,-1.32,5日内未触发关键退出信号,1.02
2025-09-10,1,1,81.3,72.0,50.6,000514,渝开发,5.53,0.18,3.8,7.23,6.87,6.87,1.45,8.5,-2.17,8.5,-2.17,T+2,T+3,T+4,否,0,否,0,9.29,-1.46,T+3,完整6日,是,5.49,强势止盈/清仓,3,5.82,4.3,3.0,6.0,-3.0,-6.0,50.0,T+2,T+3,8.74,-1.46,2025-09-12达到第一止盈：卖出50%；达到第二止盈,6.87
2025-09-11,1,1,78.8,77.3,67.4,002471,中超控股,4.71,-0.42,9.55,12.95,8.28,8.49,5.1,19.53,-0.85,19.53,-0.85,T+2,T+2,T+2,是,1,否,0,19.79,-0.64,T+2,完整6日,是,4.7,强势止盈/清仓,2,4.98,4.3,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,9.79,-0.64,2025-09-15达到第一止盈：卖出50%；达到第二止盈,8.49
2025-09-11,2,2,77.9,66.5,44.1,000889,中嘉博创,3.61,-1.39,-2.77,-1.66,-3.32,-6.65,-6.37,0.0,-7.48,0.0,-7.76,,,,否,0,否,0,0.28,-7.5,,完整6日,是,3.6,结构止损退出,5,3.37,-6.59,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.28,-7.22,2025-09-15触发软止损预警；2025-09-16触发软止损预警；2025-09-17触发软止损预警；2025-09-18触发软止损预警；2025-09-18收盘确认结构破坏,-6.65
2025-09-12,1,1,87.7,48.1,72.2,000670,盈方微,9.03,-0.11,-0.11,-1.33,-3.43,-5.76,-4.1,4.98,-6.09,4.98,-6.31,T+1,,,否,0,否,0,2.05,-8.93,,完整6日,是,9.29,结构止损退出,5,8.51,-8.6,3.0,6.0,-3.0,-6.0,50.0,,T+5,2.05,-8.72,2025-09-16触发软止损预警；2025-09-17触发软止损预警；2025-09-18触发软止损预警；2025-09-19触发软止损预警；2025-09-19收盘确认结构破坏,-5.76
2025-09-15,1,1,86.7,65.0,68.5,000877,天山股份,6.67,-2.4,-3.0,-6.0,1.05,-4.5,-4.8,3.3,-7.05,3.3,-8.4,T+4,,,否,0,否,0,3.3,-8.4,,完整6日,是,6.67,移动止盈退出,5,6.37,-0.95,3.0,6.0,-3.0,-6.0,50.0,T+4,T+5,3.3,-7.05,2025-09-17触发软止损预警；2025-09-18触发软止损预警；2025-09-19达到第一止盈：卖出50%；2025-09-19触发软止损预警；2025-09-22从峰值回撤约2.2%后退出,-4.5
2025-09-16,1,1,85.4,70.0,72.7,600156,华升股份,9.0,-3.0,-4.67,-3.78,-3.0,-1.11,-1.89,-0.22,-5.78,-0.22,-5.78,,,,否,0,否,0,0.34,-5.25,,完整6日,是,8.95,T+6收盘退出,5,8.9,-0.76,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.34,-5.25,2025-09-18触发软止损预警；2025-09-19触发软止损预警；2025-09-22触发软止损预警；2025-09-23触发软止损预警,-1.11
2025-09-17,1,1,76.8,79.3,54.2,002177,御银股份,8.11,-4.19,-5.92,-5.18,-8.63,-7.89,-8.63,-0.12,-10.85,-0.12,-10.85,,,,否,0,否,0,0.0,-10.74,,完整6日,是,8.1,结构止损退出,4,7.41,-8.72,3.0,6.0,-3.0,-6.0,50.0,,T+4,0.0,-10.74,2025-09-19触发软止损预警；2025-09-22触发软止损预警；2025-09-23触发软止损预警；2025-09-23收盘确认结构破坏,-7.89
2025-09-18,1,1,79.2,47.3,40.4,000420,吉林化纤,4.29,2.56,10.49,4.66,2.56,0.0,0.7,12.82,-0.23,12.82,-1.4,T+1,T+2,T+2,否,0,否,0,12.82,-1.4,T+2,完整6日,是,4.29,强势止盈/清仓,2,4.71,4.3,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,12.82,-0.23,2025-09-19盘中达到第一止盈，但T+1不可卖；2025-09-22达到第一止盈：卖出50%；盘中达到涨停级别，剩余仓位清仓,0.0
2025-09-25,1,1,84.0,44.7,39.6,000670,盈方微,8.86,-1.69,-1.69,0.79,4.29,-1.58,-2.48,5.3,-3.95,5.3,-7.67,T+4,T+4,,否,0,否,0,5.78,-7.26,,完整6日,是,8.82,移动止盈退出,5,8.72,0.73,3.0,6.0,-3.0,-6.0,50.0,T+4,T+5,5.78,-3.51,2025-09-29触发软止损预警；2025-10-09达到第一止盈：卖出50%；2025-10-10从峰值回撤约2.8%后退出,-1.58
2025-09-29,1,1,80.7,65.7,48.6,600319,亚星化学,8.31,0.24,-0.48,1.08,-1.32,-1.44,-1.44,5.29,-5.42,5.29,-5.42,T+5,T+5,,否,0,否,0,5.42,-5.3,,完整6日,是,8.3,移动止盈退出,5,8.19,0.64,3.0,6.0,-3.0,-6.0,50.0,T+5,T+5,5.42,-5.3,2025-10-13触发软止损预警；2025-10-14达到第一止盈：卖出50%；2025-10-14从峰值回撤约2.8%后退出,-1.44
2025-09-30,1,1,83.3,43.6,61.4,600684,珠江股份,6.32,-5.38,-7.75,-11.55,-10.92,-9.18,-6.96,3.64,-15.35,3.64,-15.35,T+1,,,否,0,否,0,2.5,-16.28,,完整6日,是,6.39,结构止损退出,3,5.59,-12.72,3.0,6.0,-3.0,-6.0,50.0,,T+3,2.5,-16.28,2025-10-10触发软止损预警；2025-10-13触发软止损预警；2025-10-13收盘确认结构破坏,-9.18
2025-10-09,1,1,85.0,53.0,35.5,600770,综艺股份,5.82,-1.89,-2.06,-1.03,-0.52,-4.3,-7.9,1.37,-6.36,1.37,-8.25,,,,否,0,否,0,1.72,-7.93,,完整6日,是,5.8,T+6收盘退出,5,5.57,-4.17,3.0,6.0,-3.0,-6.0,50.0,,T+5,1.72,-6.03,2025-10-13触发软止损预警；2025-10-16触发软止损预警,-4.3
2025-10-09,2,2,83.3,65.0,46.5,002256,兆新股份,3.2,-1.56,-1.56,-4.06,-0.31,-6.25,-8.75,1.25,-8.13,1.25,-9.06,,,,否,0,否,0,1.89,-8.49,,完整6日,是,3.18,T+6收盘退出,5,3.0,-5.86,3.0,6.0,-3.0,-6.0,50.0,,T+5,1.89,-7.55,2025-10-13触发软止损预警；2025-10-14触发软止损预警；2025-10-15触发软止损预警；2025-10-16触发软止损预警,-6.25
2025-10-09,3,3,81.1,38.6,48.1,603128,华贸物流,6.01,1.83,1.5,1.66,2.0,1.83,1.0,2.33,-0.67,2.5,-0.67,,,,否,0,否,0,1.32,-1.81,,完整6日,是,6.08,T+6收盘退出,5,6.12,0.46,3.0,6.0,-3.0,-6.0,50.0,,T+5,1.15,-1.81,5日内未触发关键退出信号,1.83
2025-10-10,1,1,79.9,48.0,60.6,600448,华纺股份,3.45,-0.29,0.87,2.9,1.16,0.0,2.9,3.19,-6.38,3.19,-6.38,T+4,,,否,0,否,0,7.23,-2.71,,完整6日,是,3.32,强势止盈/清仓,2,3.52,4.3,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,6.63,-2.71,2025-10-13盘中达到第一止盈，但T+1不可卖；2025-10-14达到第一止盈：卖出50%；达到第二止盈,0.0
2025-10-10,2,2,79.7,63.3,62.0,600249,两面针,6.0,-1.17,-0.83,1.67,0.0,-1.33,1.5,1.83,-3.17,1.83,-3.17,,,,否,0,否,0,4.44,-0.68,,完整6日,是,5.85,移动止盈退出,5,5.92,1.9,3.0,6.0,-3.0,-6.0,50.0,T+3,T+5,4.44,-0.68,2025-10-15达到第一止盈：卖出50%；2025-10-17从峰值回撤约2.2%后退出,-1.33
2025-10-10,3,3,77.4,62.5,57.6,600503,华丽家族,3.34,-0.9,-2.1,-1.2,-1.8,0.3,-2.69,3.29,-5.99,3.29,-5.99,T+2,,,否,0,否,0,9.87,0.0,T+2,完整6日,是,3.14,移动止盈退出,2,3.27,3.37,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,9.87,0.0,2025-10-13盘中达到第一止盈，但T+1不可卖；2025-10-14达到第一止盈：卖出50%；2025-10-14从峰值回撤约3.5%后退出,0.3
2025-10-15,1,1,76.8,64.7,64.4,600828,茂业商业,4.04,-1.98,-1.98,-0.74,1.73,2.97,1.98,2.97,-2.48,3.22,-2.48,T+6,,,否,0,否,0,3.99,-1.75,,完整6日,是,4.01,首止盈后T+6退出,5,4.16,3.17,3.0,6.0,-3.0,-6.0,50.0,T+5,T+5,3.74,-1.75,2025-10-22达到第一止盈：卖出50%,2.97
2025-10-16,1,1,84.0,76.2,53.6,600651,飞乐音响,9.19,-6.09,-4.03,-0.44,-1.63,-5.88,-6.75,3.16,-7.51,3.16,-7.51,T+2,,,否,0,否,0,4.29,-6.49,,完整6日,是,9.09,移动止盈退出,2,8.82,-0.19,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,4.29,-6.49,2025-10-20达到第一止盈：卖出50%；2025-10-20从峰值回撤约2.2%后退出,-5.88
2025-10-17,1,1,82.0,69.2,43.1,000796,凯撒旅业,6.24,7.05,4.33,-0.16,-0.8,-2.4,-1.6,9.94,-2.88,9.94,-2.88,T+1,T+1,T+1,否,0,否,0,7.86,-4.72,,完整6日,是,6.36,移动止盈退出,2,6.51,2.48,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,7.86,-0.94,2025-10-20盘中达到第一止盈，但T+1不可卖；2025-10-21达到第一止盈：卖出50%；2025-10-21从峰值回撤约2.8%后退出,-2.4
2025-10-20,1,1,77.9,60.3,54.9,603980,吉华集团,5.51,0.73,0.54,0.54,0.0,0.54,0.0,2.0,-1.45,2.0,-1.45,,,,否,0,否,0,2.55,-0.91,,完整6日,是,5.48,T+6收盘退出,5,5.54,0.89,3.0,6.0,-3.0,-6.0,50.0,,T+5,2.55,-0.91,5日内未触发关键退出信号,0.54
2025-10-23,1,1,78.5,67.6,49.0,002212,天融信,9.59,0.63,0.73,1.98,12.2,8.13,8.65,12.2,-0.83,12.2,-0.83,T+1,T+4,T+4,是,1,否,0,9.8,-2.96,T+4,完整6日,是,9.8,强势止盈/清仓,4,10.39,4.3,3.0,6.0,-3.0,-6.0,50.0,T+4,T+4,9.8,-2.96,2025-10-29达到第一止盈：卖出50%；达到第二止盈,8.13
2025-10-24,1,1,87.3,65.7,40.3,600319,亚星化学,8.14,1.23,1.35,1.35,1.47,4.55,9.34,6.39,-0.74,10.44,-0.74,T+5,T+5,T+6,否,0,否,0,11.12,-0.12,T+6,完整6日,是,8.09,强势止盈/清仓,5,8.58,4.3,3.0,6.0,-3.0,-6.0,50.0,T+3,T+5,7.05,-0.12,2025-10-27盘中达到第一止盈，但T+1不可卖；2025-10-29达到第一止盈：卖出50%；达到第二止盈,4.55
2025-10-27,1,1,78.5,37.7,60.4,000670,盈方微,8.46,-2.01,-2.36,-2.13,-3.43,-1.42,-2.84,2.25,-5.2,2.25,-5.2,,,,否,0,否,0,4.34,-3.26,,完整6日,是,8.29,移动止盈退出,3,8.28,1.24,3.0,6.0,-3.0,-6.0,50.0,T+3,T+3,4.34,-1.21,2025-10-30达到第一止盈：卖出50%；2025-10-30从峰值回撤约2.2%后退出,-1.42
2025-10-28,1,1,87.1,61.8,76.7,000510,新金路,5.59,-2.33,0.0,0.18,5.55,7.33,10.91,10.55,-3.94,11.99,-3.94,T+4,T+4,T+5,否,0,否,0,11.99,-3.94,T+5,完整6日,是,5.59,强势止盈/清仓,4,5.93,4.3,3.0,6.0,-3.0,-6.0,50.0,T+4,T+4,6.08,-3.94,2025-10-30触发软止损预警；2025-11-03达到第一止盈：卖出50%；达到第二止盈,7.33
2025-10-29,1,1,83.4,63.6,40.4,603363,傲农生物,5.21,-1.73,-1.92,-1.15,0.0,1.54,0.19,4.8,-4.03,4.8,-4.03,T+5,,,否,0,否,0,6.23,-2.72,,完整6日,是,5.14,移动止盈退出,4,5.21,1.98,3.0,6.0,-3.0,-6.0,50.0,T+4,T+4,4.09,-2.72,2025-11-04达到第一止盈：卖出50%；2025-11-04从峰值回撤约2.2%后退出,1.54
2025-10-31,1,1,81.5,73.5,58.0,601908,京运通,4.1,2.2,0.24,2.44,2.44,4.88,9.51,5.85,-1.22,11.71,-1.22,T+4,T+5,T+6,否,0,否,0,11.17,-1.7,T+6,完整6日,是,4.12,首止盈后T+6退出,5,4.3,3.48,3.0,6.0,-3.0,-6.0,50.0,T+4,T+5,5.34,-1.7,2025-11-06达到第一止盈：卖出50%,4.88
2025-11-03,1,1,83.8,43.6,71.9,000890,法尔胜,4.77,0.63,2.1,1.68,0.63,1.47,2.31,2.94,-1.68,2.94,-1.68,,,,否,0,否,0,2.94,-1.68,,完整6日,是,4.77,T+6收盘退出,5,4.84,1.27,3.0,6.0,-3.0,-6.0,50.0,,T+5,2.94,-1.68,5日内未触发关键退出信号,1.47
2025-11-04,1,1,81.0,84.5,66.0,603839,安正时尚,9.02,0.33,1.11,-0.78,1.22,2.33,1.77,2.88,-1.77,3.33,-1.77,T+6,,,否,0,否,0,4.25,-0.89,,完整6日,是,8.94,首止盈后T+6退出,5,9.23,2.92,3.0,6.0,-3.0,-6.0,50.0,T+4,T+5,3.8,-0.89,2025-11-05盘中达到第一止盈，但T+1不可卖；2025-11-10达到第一止盈：卖出50%,2.33
2025-11-05,1,1,87.4,59.2,77.9,601279,英利汽车,4.44,-0.23,-2.48,-1.8,3.38,5.63,4.28,8.56,-4.28,8.56,-4.28,T+4,T+4,T+4,否,0,否,0,8.31,-4.49,T+5,完整6日,是,4.45,移动止盈退出,4,4.59,2.87,3.0,6.0,-3.0,-6.0,50.0,T+4,T+4,7.87,-4.49,2025-11-10触发软止损预警；2025-11-11达到第一止盈：卖出50%；2025-11-11从峰值回撤约2.8%后退出,5.63
2025-11-07,1,1,87.7,68.6,62.3,002029,七匹狼,9.29,3.23,1.94,9.47,17.76,11.09,14.42,20.45,-2.69,20.45,-2.69,T+1,T+1,T+3,否,0,否,0,22.16,-1.31,T+3,完整6日,是,9.16,移动止盈退出,2,9.47,2.99,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,6.99,-1.31,2025-11-10盘中达到第一止盈，但T+1不可卖；2025-11-11达到第一止盈：卖出50%；2025-11-11从峰值回撤约2.8%后退出,11.09
2025-11-10,1,1,79.8,83.5,67.5,603839,安正时尚,9.13,1.1,0.55,0.22,1.1,2.52,3.07,3.18,-1.31,3.5,-1.31,T+4,,,否,0,否,0,2.49,-2.28,,完整6日,是,9.22,T+6收盘退出,5,9.36,1.32,3.0,6.0,-3.0,-6.0,50.0,,T+5,2.17,-2.28,5日内未触发关键退出信号,2.52
2025-11-11,1,1,82.2,69.8,64.1,601212,白银有色,5.36,-1.68,2.61,-0.19,-3.36,-8.77,-6.53,4.48,-9.51,4.48,-9.51,T+2,,,否,0,否,0,6.06,-8.14,,完整6日,是,5.28,强势止盈/清仓,2,5.6,4.3,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,6.06,-2.46,2025-11-13达到第一止盈：卖出50%；达到第二止盈,-8.77
2025-11-12,1,1,79.6,73.0,68.6,600162,香江控股,2.2,0.91,3.64,8.64,1.36,-2.73,-5.0,10.91,-3.64,10.91,-6.82,T+2,T+2,T+3,否,0,否,0,10.91,-6.82,T+3,完整6日,是,2.2,强势止盈/清仓,2,2.33,4.3,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,6.36,-1.82,2025-11-14达到第一止盈：卖出50%；达到第二止盈,-2.73
2025-11-13,1,1,83.7,59.0,58.6,600167,联美控股,8.31,9.99,14.32,10.35,11.43,15.4,8.06,16.73,3.85,16.73,3.85,T+1,T+1,T+1,是,1,否,0,10.86,-1.37,T+2,完整6日,是,8.75,强势止盈/清仓,2,9.61,4.3,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,9.83,-1.37,2025-11-14盘中达到第一止盈，但T+1不可卖；2025-11-17达到第一止盈：卖出50%；盘中达到涨停级别，剩余仓位清仓,15.4
2025-11-14,1,1,78.1,66.9,59.7,002678,珠江钢琴,5.18,0.97,0.58,-2.32,-1.54,-3.67,-2.51,1.74,-4.25,1.74,-4.63,,,,否,0,否,0,1.35,-5.0,,完整6日,是,5.2,T+6收盘退出,5,4.99,-4.24,3.0,6.0,-3.0,-6.0,50.0,,T+5,1.35,-4.62,2025-11-19触发软止损预警；2025-11-20触发软止损预警；2025-11-21触发软止损预警,-3.67
2025-11-18,1,1,91.4,79.1,74.4,002564,天沃科技,8.98,-3.67,-5.79,-7.02,-4.57,-1.11,1.56,1.67,-7.8,3.45,-7.8,T+6,,,否,0,否,0,4.38,-6.97,,完整6日,是,8.9,结构止损退出,3,8.35,-6.38,3.0,6.0,-3.0,-6.0,50.0,,T+3,0.56,-6.97,2025-11-20触发软止损预警；2025-11-21触发软止损预警；2025-11-21收盘确认结构破坏,-1.11
