推荐日,推荐排名,推荐度,代码,名称,推荐日收盘,T+1涨跌%,T+2累计%,T+3累计%,T+4累计%,T+5累计%,5日最高涨幅%,5日最低涨幅%,5日结果,T+1开盘买入,买入价,交易结果,持有交易日,卖出价,净收益%,第一止盈%,第二止盈%,软止损%,硬止损%,首止盈卖出仓位%,首次止盈日,最终清仓日,最高浮盈%,最大浮亏%,交易备注,原T+5收盘%
2025-07-10,1,44.8,600800,渤海化学,4.33,0.46,-1.62,-2.54,-1.62,-1.62,1.62,-5.31,完整5日,是,4.31,T+5收盘退出,5,4.26,-1.36,3.0,6.0,-3.0,-6.0,50.0,,T+5,2.09,-4.87,2025-07-14触发软止损预警；2025-07-15触发软止损预警；2025-07-16触发软止损预警,-1.62
2025-07-10,2,38.5,603017,中衡设计,9.63,-0.62,-0.52,-2.8,-2.18,-1.77,0.31,-3.63,完整5日,是,9.65,T+5收盘退出,5,9.46,-2.17,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.1,-3.83,2025-07-15触发软止损预警；2025-07-16触发软止损预警,-1.77
2025-07-14,1,52.6,002471,中超控股,4.86,-3.5,-3.7,-3.29,-4.12,-1.65,-1.23,-4.94,完整5日,是,4.76,T+5收盘退出,5,4.78,0.22,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.84,-2.94,5日内未触发关键退出信号,-1.65
2025-07-14,2,41.5,603839,安正时尚,7.21,-3.19,-1.11,-1.53,-1.53,0.14,0.42,-4.58,完整5日,是,7.1,T+5收盘退出,5,7.22,1.49,3.0,6.0,-3.0,-6.0,50.0,,T+5,1.97,-3.1,5日内未触发关键退出信号,0.14
2025-07-14,3,41.0,002490,山东墨龙,5.71,-3.33,-2.8,-2.98,-2.8,-1.93,-0.35,-4.2,完整5日,是,5.61,T+5收盘退出,5,5.6,-0.38,3.0,6.0,-3.0,-6.0,50.0,,T+5,1.43,-2.5,5日内未触发关键退出信号,-1.93
2025-07-15,1,34.4,002235,安妮股份,9.94,-3.02,-6.34,-9.36,-12.17,-14.08,1.61,-14.69,完整5日,是,9.65,结构止损退出,4,8.73,-9.73,3.0,6.0,-3.0,-6.0,50.0,,T+4,4.66,-9.95,2025-07-16盘中达到第一止盈，但T+1不可卖；2025-07-17触发软止损预警；2025-07-18触发软止损预警；2025-07-21触发软止损预警；2025-07-21收盘确认结构破坏,-14.08
2025-07-15,2,28.4,600798,宁波海运,4.52,-3.54,-4.65,-4.87,-5.53,-6.64,-1.11,-7.96,完整5日,是,4.41,T+5收盘退出,5,4.22,-4.51,3.0,6.0,-3.0,-6.0,50.0,,T+5,1.36,-5.67,2025-07-21触发软止损预警；2025-07-22触发软止损预警,-6.64
2025-07-17,1,54.2,002565,顺灏股份,6.65,-1.05,4.21,-3.61,-4.51,-2.11,5.41,-6.17,完整5日,是,6.66,移动止盈退出,3,6.41,-0.58,3.0,6.0,-3.0,-6.0,50.0,T+2,T+3,5.26,-6.31,2025-07-21达到第一止盈：卖出50%；2025-07-22从峰值回撤约2.8%后退出,-2.11
2025-07-17,2,31.0,605388,均瑶健康,8.08,-0.74,0.0,-1.24,-2.48,-1.24,0.25,-2.85,完整5日,是,8.09,T+5收盘退出,5,7.98,-1.56,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.12,-2.97,5日内未触发关键退出信号,-1.24
2025-07-18,1,57.4,600110,诺德股份,5.77,-2.43,0.0,-2.77,-0.69,-2.6,1.56,-3.81,完整5日,是,5.65,移动止盈退出,3,5.61,0.95,3.0,6.0,-3.0,-6.0,50.0,T+2,T+3,3.72,-1.77,2025-07-22达到第一止盈：卖出50%；2025-07-23从峰值回撤约2.2%后退出,-2.6
