推荐日,推荐排名,推荐度,代码,名称,推荐日收盘,T+1涨跌%,T+2累计%,T+3累计%,T+4累计%,T+5累计%,5日最高涨幅%,5日最低涨幅%,5日结果,T+1开盘买入,买入价,交易结果,持有交易日,卖出价,净收益%,第一止盈%,第二止盈%,软止损%,硬止损%,首止盈卖出仓位%,首次止盈日,最终清仓日,最高浮盈%,最大浮亏%,交易备注,原T+5收盘%
2025-07-18,2,47.9,002427,尤夫股份,8.21,-0.37,-2.56,-4.51,-4.51,-6.46,-0.12,-6.82,完整5日,是,8.18,结构止损退出,5,7.68,-6.31,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.24,-6.48,2025-07-22触发软止损预警；2025-07-23触发软止损预警；2025-07-24触发软止损预警；2025-07-25触发软止损预警；2025-07-25收盘确认结构破坏,-6.46
2025-07-18,3,41.7,002490,山东墨龙,5.55,0.9,-0.9,-1.44,-0.36,-1.26,1.44,-1.98,完整5日,是,5.55,T+5收盘退出,5,5.48,-1.46,3.0,6.0,-3.0,-6.0,50.0,,T+5,1.44,-1.98,5日内未触发关键退出信号,-1.26
2025-07-18,4,36.9,600551,时代出版,8.93,1.46,0.67,1.34,1.9,2.46,5.04,-0.67,完整5日,是,8.93,移动止盈退出,3,9.05,1.97,3.0,6.0,-3.0,-6.0,50.0,T+3,T+3,3.92,-0.67,2025-07-23达到第一止盈：卖出50%；2025-07-23从峰值回撤约2.2%后退出,2.46
2025-07-21,1,75.6,603333,福华尚纬,8.21,0.61,-1.1,-2.8,-2.8,-2.56,3.29,-4.51,完整5日,是,8.11,移动止盈退出,2,8.12,1.36,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,4.56,-0.86,2025-07-22盘中达到第一止盈，但T+1不可卖；2025-07-23达到第一止盈：卖出50%；2025-07-23从峰值回撤约2.2%后退出,-2.56
2025-07-21,2,59.0,002278,神开股份,9.35,1.18,-2.25,-1.71,-2.25,7.49,7.49,-3.42,完整5日,是,9.31,强势止盈/清仓,5,9.87,4.3,3.0,6.0,-3.0,-6.0,50.0,T+5,T+5,7.95,-3.01,2025-07-24触发软止损预警；2025-07-28达到第一止盈：卖出50%；达到第二止盈,7.49
2025-07-21,3,58.0,603839,安正时尚,7.22,-1.66,-2.91,-1.66,-0.69,-1.8,0.28,-2.91,完整5日,是,7.23,T+5收盘退出,5,7.09,-2.14,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.14,-3.04,2025-07-23触发软止损预警,-1.8
2025-07-21,4,52.8,603017,中衡设计,9.74,0.62,-1.85,-0.92,-1.54,-1.44,1.54,-2.26,完整5日,是,9.81,T+5收盘退出,5,9.6,-2.34,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.82,-2.96,5日内未触发关键退出信号,-1.44
2025-07-21,5,51.9,002471,中超控股,4.78,-0.42,-0.63,-1.26,-2.51,-2.93,3.77,-3.56,完整5日,是,4.8,移动止盈退出,2,4.75,0.78,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,3.33,-2.71,2025-07-23达到第一止盈：卖出50%；2025-07-23从峰值回撤约2.2%后退出,-2.93
2025-07-22,1,50.4,600800,渤海化学,4.28,-0.93,-1.17,-3.27,-4.91,-4.67,0.93,-6.78,完整5日,是,4.3,T+5收盘退出,5,4.08,-5.32,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.47,-7.21,2025-07-25触发软止损预警；2025-07-28触发软止损预警；2025-07-29触发软止损预警,-4.67
2025-07-22,2,40.4,600468,百利电气,6.82,5.72,3.08,0.29,-0.15,-2.35,8.94,-3.23,完整5日,是,6.95,T+5收盘退出,5,6.66,-4.37,3.0,6.0,-3.0,-6.0,50.0,,T+5,6.91,-5.04,2025-07-23盘中达到第一止盈，但T+1不可卖；2025-07-29触发软止损预警,-2.35
2025-07-22,3,36.6,603065,宿迁联盛,9.24,-0.87,0.0,-0.54,0.11,-1.62,0.54,-2.81,完整5日,是,9.23,T+5收盘退出,5,9.09,-1.72,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.65,-2.71,5日内未触发关键退出信号,-1.62
2025-07-22,4,35.6,601008,连云港,6.19,-0.32,2.42,0.65,-0.65,-1.62,2.75,-2.58,完整5日,是,6.18,T+5收盘退出,5,6.09,-1.66,3.0,6.0,-3.0,-6.0,50.0,,T+5,2.91,-2.43,5日内未触发关键退出信号,-1.62
2025-07-22,5,30.2,002177,御银股份,6.57,-1.52,0.61,-0.15,1.67,1.83,2.89,-2.13,完整5日,是,6.53,首止盈后T+5退出,5,6.69,2.53,3.0,6.0,-3.0,-6.0,50.0,T+5,T+5,3.52,-1.53,2025-07-29达到第一止盈：卖出50%,1.83
2025-07-23,1,27.3,002040,南京港,9.84,1.73,0.3,-0.51,-0.71,-0.2,2.64,-2.85,完整5日,是,9.82,T+5收盘退出,5,9.82,-0.2,3.0,6.0,-3.0,-6.0,50.0,,T+5,2.85,-2.65,5日内未触发关键退出信号,-0.2
2025-07-24,1,48.0,000637,茂化实华,4.23,1.18,0.47,-1.18,-0.71,-3.55,2.84,-3.78,完整5日,是,4.24,T+5收盘退出,5,4.08,-3.97,3.0,6.0,-3.0,-6.0,50.0,,T+5,2.59,-4.01,2025-07-31触发软止损预警,-3.55
2025-07-24,2,44.8,600798,宁波海运,4.26,-1.88,-3.05,-3.99,-4.23,-7.51,0.47,-7.51,完整5日,是,4.28,结构止损退出,5,3.94,-8.14,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.0,-7.94,2025-07-28触发软止损预警；2025-07-29触发软止损预警；2025-07-30触发软止损预警；2025-07-31触发软止损预警；2025-07-31收盘确认结构破坏,-7.51
2025-07-24,3,35.7,600643,爱建集团,6.3,-1.59,-0.48,-0.79,-2.22,-3.97,0.16,-4.6,完整5日,是,6.28,T+5收盘退出,5,6.05,-3.86,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.48,-4.3,2025-07-30触发软止损预警；2025-07-31触发软止损预警,-3.97
2025-07-25,1,58.4,000892,欢瑞世纪,4.9,2.24,-1.02,1.02,-3.06,-4.29,7.96,-5.1,完整5日,是,4.91,T+5收盘退出,5,4.69,-4.68,3.0,6.0,-3.0,-6.0,50.0,,T+5,7.74,-5.3,2025-07-28盘中达到第一止盈，但T+1不可卖；2025-07-31触发软止损预警；2025-08-01触发软止损预警,-4.29
2025-07-25,2,36.7,600551,时代出版,9.15,6.01,11.69,6.23,4.26,1.64,16.61,-0.55,完整5日,是,9.18,移动止盈退出,2,10.22,6.96,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,16.23,-0.87,2025-07-28盘中达到第一止盈，但T+1不可卖；2025-07-29达到第一止盈：卖出50%；2025-07-29从峰值回撤约3.5%后退出,1.64
2025-07-25,3,36.1,605055,迎丰股份,7.08,0.14,-1.69,-1.27,-0.56,0.14,1.55,-2.4,完整5日,是,7.14,T+5收盘退出,5,7.09,-0.9,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.7,-3.22,2025-07-29触发软止损预警；2025-07-30触发软止损预警,0.14
2025-07-25,4,35.6,000889,中嘉博创,3.57,0.84,-0.56,-1.96,7.84,3.64,10.08,-2.52,完整5日,是,3.57,强势止盈/清仓,4,3.78,4.3,3.0,6.0,-3.0,-6.0,50.0,T+4,T+4,7.84,-2.52,2025-07-31达到第一止盈：卖出50%；达到第二止盈,3.64
2025-07-28,1,43.9,002490,山东墨龙,5.62,-0.89,9.07,13.17,8.19,3.38,19.22,-2.67,完整5日,是,5.6,强势止盈/清仓,2,5.94,4.3,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,9.46,-2.32,2025-07-30达到第一止盈：卖出50%；达到第二止盈,3.38
2025-07-28,2,34.9,002177,御银股份,6.68,0.15,-2.99,-4.94,-4.79,-4.49,1.2,-6.44,完整5日,是,6.63,T+5收盘退出,5,6.38,-3.97,3.0,6.0,-3.0,-6.0,50.0,,T+5,1.96,-5.73,2025-07-30触发软止损预警；2025-07-31触发软止损预警；2025-08-01触发软止损预警；2025-08-04触发软止损预警,-4.49
2025-07-29,1,33.0,603316,诚邦股份,8.57,-0.35,-2.33,-1.52,-0.23,0.93,1.05,-2.45,完整5日,是,8.57,T+5收盘退出,5,8.65,0.73,3.0,6.0,-3.0,-6.0,50.0,,T+5,1.05,-2.45,5日内未触发关键退出信号,0.93
2025-07-29,2,32.6,603065,宿迁联盛,9.09,-1.21,-2.31,-1.32,0.44,2.31,2.97,-2.97,完整5日,是,9.03,首止盈后T+5退出,5,9.3,2.8,3.0,6.0,-3.0,-6.0,50.0,T+5,T+5,3.65,-2.33,2025-08-05达到第一止盈：卖出50%,2.31
2025-07-29,3,29.2,603900,莱绅通灵,9.72,-0.1,-1.23,-1.34,2.26,0.82,3.4,-1.95,完整5日,是,9.64,移动止盈退出,5,9.8,2.13,3.0,6.0,-3.0,-6.0,50.0,T+4,T+5,4.25,-1.14,2025-08-04达到第一止盈：卖出50%；2025-08-05从峰值回撤约2.2%后退出,0.82
2025-07-29,4,27.1,605388,均瑶健康,8.05,0.37,-3.48,-5.84,-5.71,-5.59,1.86,-7.58,完整5日,是,7.91,T+5收盘退出,5,7.6,-4.12,3.0,6.0,-3.0,-6.0,50.0,,T+5,3.67,-5.94,2025-07-30盘中达到第一止盈，但T+1不可卖；2025-08-01触发软止损预警；2025-08-04触发软止损预警；2025-08-05触发软止损预警,-5.59
2025-07-30,1,58.3,603333,福华尚纬,8.18,0.98,-0.98,-0.49,2.44,3.3,4.4,-4.16,完整5日,是,8.33,T+5收盘退出,5,8.45,1.24,3.0,6.0,-3.0,-6.0,50.0,,T+5,2.52,-5.88,2025-08-01触发软止损预警；2025-08-04触发软止损预警,3.3
2025-07-30,2,40.0,002295,精艺股份,9.95,-0.6,5.13,13.47,14.07,14.47,15.38,-1.61,完整5日,是,9.85,强势止盈/清仓,2,10.44,4.3,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,8.83,-0.61,2025-07-31盘中达到第一止盈，但T+1不可卖；2025-08-01达到第一止盈：卖出50%；达到第二止盈,14.47
2025-07-30,3,36.1,002427,尤夫股份,7.81,-2.94,-5.38,-5.12,-0.26,-2.18,2.3,-7.68,完整5日,是,7.68,移动止盈退出,4,7.79,2.02,3.0,6.0,-3.0,-6.0,50.0,T+4,T+4,4.04,-6.12,2025-08-01触发软止损预警；2025-08-04触发软止损预警；2025-08-05达到第一止盈：卖出50%；2025-08-05从峰值回撤约2.2%后退出,-2.18
2025-07-30,4,33.7,000565,渝三峡A,8.75,-4.11,-3.77,-3.09,-1.37,-1.71,-1.03,-5.71,完整5日,是,8.66,T+5收盘退出,5,8.6,-0.89,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.0,-4.73,2025-08-01触发软止损预警；2025-08-04触发软止损预警,-1.71
2025-07-30,5,30.7,002165,红宝丽,9.17,-2.62,-2.07,-1.85,2.4,0.55,5.34,-3.82,完整5日,是,9.1,强势止盈/清仓,4,9.65,4.3,3.0,6.0,-3.0,-6.0,50.0,T+4,T+4,6.15,-3.08,2025-08-01触发软止损预警；2025-08-04触发软止损预警；2025-08-05达到第一止盈：卖出50%；达到第二止盈,0.55
2025-08-01,1,34.6,600794,保税科技,4.52,-0.88,0.44,0.66,3.54,1.77,3.98,-1.99,完整5日,是,4.47,首止盈后T+5退出,5,4.6,2.75,3.0,6.0,-3.0,-6.0,50.0,T+4,T+5,5.15,-0.89,2025-08-07达到第一止盈：卖出50%,1.77
2025-08-04,1,44.6,603900,莱绅通灵,9.94,-1.41,-0.6,9.36,13.08,9.56,17.2,-2.92,完整5日,是,9.93,强势止盈/清仓,3,10.53,4.3,3.0,6.0,-3.0,-6.0,50.0,T+3,T+3,9.47,-2.82,2025-08-07达到第一止盈：卖出50%；达到第二止盈,9.56
2025-08-04,2,39.0,000510,新金路,4.8,1.25,0.83,10.83,6.46,7.71,10.83,-0.21,完整5日,是,4.8,强势止盈/清仓,3,5.27,4.3,3.0,6.0,-3.0,-6.0,50.0,T+3,T+3,10.83,-0.21,2025-08-07达到第一止盈：卖出50%；盘中达到涨停级别，剩余仓位清仓,7.71
2025-08-04,3,35.8,002471,中超控股,4.5,0.89,1.56,0.44,10.44,13.56,16.89,-1.11,完整5日,是,4.49,强势止盈/清仓,4,4.93,4.3,3.0,6.0,-3.0,-6.0,50.0,T+4,T+4,10.69,-0.89,2025-08-08达到第一止盈：卖出50%；盘中达到涨停级别，剩余仓位清仓,13.56
2025-08-04,4,34.8,603065,宿迁联盛,9.13,1.86,0.66,0.44,-0.11,1.2,2.52,-1.2,完整5日,是,9.12,T+5收盘退出,5,9.24,1.12,3.0,6.0,-3.0,-6.0,50.0,,T+5,2.63,-1.1,5日内未触发关键退出信号,1.2
2025-08-05,1,47.3,002909,集泰股份,6.29,2.86,1.91,2.38,3.34,3.82,8.11,-0.16,完整5日,是,6.31,移动止盈退出,2,6.41,2.09,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,7.77,-0.48,2025-08-06盘中达到第一止盈，但T+1不可卖；2025-08-07达到第一止盈：卖出50%；2025-08-07从峰值回撤约2.8%后退出,3.82
2025-08-05,2,47.3,002342,巨力索具,7.29,2.19,-0.55,3.02,2.47,1.1,8.09,-2.06,完整5日,是,7.14,移动止盈退出,2,7.25,2.07,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,6.02,0.0,2025-08-06盘中达到第一止盈，但T+1不可卖；2025-08-07达到第一止盈：卖出50%；2025-08-07从峰值回撤约2.8%后退出,1.1
2025-08-05,3,45.4,601218,吉鑫科技,4.26,-0.7,-0.47,1.17,1.88,0.7,2.82,-1.41,完整5日,是,4.26,T+5收盘退出,5,4.29,0.5,3.0,6.0,-3.0,-6.0,50.0,,T+5,2.82,-1.41,5日内未触发关键退出信号,0.7
2025-08-05,4,42.5,001896,豫能控股,5.59,-0.18,-0.72,1.97,0.72,-0.36,2.68,-1.79,完整5日,是,5.6,T+5收盘退出,5,5.57,-0.74,3.0,6.0,-3.0,-6.0,50.0,,T+5,2.5,-1.96,5日内未触发关键退出信号,-0.36
2025-08-05,5,41.5,000565,渝三峡A,8.63,-0.35,-0.35,-1.39,-0.12,-0.46,0.58,-1.85,完整5日,是,8.6,T+5收盘退出,5,8.59,-0.32,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.93,-1.51,5日内未触发关键退出信号,-0.46
2025-08-06,1,53.3,601956,东贝集团,6.73,4.16,3.57,5.05,3.71,4.01,6.24,0.0,完整5日,是,6.76,首止盈后T+5退出,5,7.0,3.08,3.0,6.0,-3.0,-6.0,50.0,T+2,T+5,5.77,-0.44,2025-08-07盘中达到第一止盈，但T+1不可卖；2025-08-08达到第一止盈：卖出50%,4.01
2025-08-06,2,43.3,603086,先达股份,9.62,-0.94,0.62,1.35,0.62,0.83,2.29,-1.98,完整5日,是,9.62,T+5收盘退出,5,9.7,0.63,3.0,6.0,-3.0,-6.0,50.0,,T+5,2.29,-1.98,5日内未触发关键退出信号,0.83
2025-08-06,3,39.2,000601,韶能股份,5.37,-0.74,0.0,0.19,-0.37,-0.93,1.49,-1.68,完整5日,是,5.37,T+5收盘退出,5,5.32,-1.13,3.0,6.0,-3.0,-6.0,50.0,,T+5,1.49,-1.68,5日内未触发关键退出信号,-0.93
2025-08-06,4,37.6,002235,安妮股份,8.05,-0.99,-1.12,0.12,1.86,4.47,4.97,-2.11,完整5日,是,8.04,首止盈后T+5退出,5,8.41,3.6,3.0,6.0,-3.0,-6.0,50.0,T+4,T+5,5.1,-1.99,2025-08-12达到第一止盈：卖出50%,4.47
2025-08-06,5,36.9,002263,大东南,3.51,-0.85,-0.57,1.14,0.0,1.71,4.27,-1.42,完整5日,是,3.51,移动止盈退出,5,3.57,2.15,3.0,6.0,-3.0,-6.0,50.0,T+5,T+5,4.27,-1.42,2025-08-13达到第一止盈：卖出50%；2025-08-13从峰值回撤约2.2%后退出,1.71
2025-08-07,1,59.4,600281,华阳新材,7.07,-2.69,-3.11,-4.24,-3.96,-5.52,-0.14,-5.66,完整5日,是,7.06,T+5收盘退出,5,6.68,-5.58,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.0,-5.52,2025-08-11触发软止损预警；2025-08-12触发软止损预警；2025-08-13触发软止损预警；2025-08-14触发软止损预警,-5.52
2025-08-07,2,55.9,600770,综艺股份,5.61,-1.07,0.89,1.6,2.5,-0.71,7.49,-2.67,完整5日,是,5.56,移动止盈退出,3,5.7,2.56,3.0,6.0,-3.0,-6.0,50.0,T+2,T+3,8.45,-1.8,2025-08-08盘中达到第一止盈，但T+1不可卖；2025-08-11达到第一止盈：卖出50%；2025-08-12从峰值回撤约3.5%后退出,-0.71
2025-08-07,3,47.7,600744,华银电力,7.03,9.96,6.26,6.83,3.41,-0.85,12.38,-2.42,完整5日,是,6.91,强势止盈/清仓,2,7.59,4.3,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,11.87,-0.72,2025-08-08盘中达到第一止盈，但T+1不可卖；2025-08-11达到第一止盈：卖出50%；盘中达到涨停级别，剩余仓位清仓,-0.85
2025-08-07,4,45.8,600794,保税科技,4.68,-1.71,-1.5,-1.71,-2.56,-3.85,-0.64,-3.85,完整5日,是,4.65,T+5收盘退出,5,4.5,-3.43,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.0,-3.23,2025-08-14触发软止损预警,-3.85
2025-08-07,5,44.5,603316,诚邦股份,8.8,-1.02,0.8,-1.48,-1.48,-4.2,1.36,-4.55,完整5日,是,8.75,T+5收盘退出,5,8.43,-3.86,3.0,6.0,-3.0,-6.0,50.0,,T+5,1.94,-4.0,2025-08-14触发软止损预警,-4.2
2025-08-08,1,56.3,603980,吉华集团,6.02,-1.0,-0.17,-1.99,-6.64,-5.81,2.16,-6.98,完整5日,是,6.06,结构止损退出,4,5.62,-7.46,3.0,6.0,-3.0,-6.0,50.0,,T+4,1.49,-7.26,2025-08-13触发软止损预警；2025-08-14触发软止损预警；2025-08-14收盘确认结构破坏,-5.81
2025-08-08,2,51.4,003037,三和管桩,9.12,-0.66,-1.97,-2.08,-0.88,-2.52,2.08,-3.73,完整5日,是,9.12,T+5收盘退出,5,8.89,-2.72,3.0,6.0,-3.0,-6.0,50.0,,T+5,2.08,-3.73,2025-08-15触发软止损预警,-2.52
2025-08-08,3,46.4,002201,九鼎新材,7.72,5.31,4.53,6.74,10.62,16.06,19.3,-0.52,完整5日,是,7.73,强势止盈/清仓,3,8.19,4.3,3.0,6.0,-3.0,-6.0,50.0,T+2,T+3,6.6,-0.65,2025-08-11盘中达到第一止盈，但T+1不可卖；2025-08-12达到第一止盈：卖出50%；达到第二止盈,16.06
2025-08-08,4,42.2,600396,华电辽能,3.47,-2.31,-3.17,-3.75,-6.05,-5.48,-0.86,-6.34,完整5日,是,3.42,T+5收盘退出,5,3.28,-4.29,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.58,-4.97,2025-08-14触发软止损预警；2025-08-15触发软止损预警,-5.48
2025-08-08,5,41.0,601279,英利汽车,4.09,2.2,2.2,3.18,0.24,2.44,3.42,-0.49,完整5日,是,4.1,移动止盈退出,4,4.1,1.3,3.0,6.0,-3.0,-6.0,50.0,T+4,T+4,3.17,-0.73,2025-08-14达到第一止盈：卖出50%；2025-08-14从峰值回撤约2.2%后退出,2.44
2025-08-11,1,52.9,000892,欢瑞世纪,4.84,-1.03,0.41,-2.48,0.0,9.92,9.92,-3.51,完整5日,是,4.84,强势止盈/清仓,5,5.31,4.3,3.0,6.0,-3.0,-6.0,50.0,T+5,T+5,9.92,-3.51,2025-08-14触发软止损预警；2025-08-15触发软止损预警；2025-08-18达到第一止盈：卖出50%；盘中达到涨停级别，剩余仓位清仓,9.92
2025-08-11,2,50.2,600468,百利电气,6.66,-0.75,-0.75,0.45,-0.45,0.6,2.55,-2.1,完整5日,是,6.68,T+5收盘退出,5,6.7,0.1,3.0,6.0,-3.0,-6.0,50.0,,T+5,2.25,-2.4,5日内未触发关键退出信号,0.6
2025-08-11,3,48.7,000514,渝开发,5.67,1.06,0.18,-1.06,-1.06,0.53,5.64,-2.12,完整5日,是,5.68,移动止盈退出,3,5.61,0.68,3.0,6.0,-3.0,-6.0,50.0,T+3,T+3,5.46,-1.58,2025-08-14达到第一止盈：卖出50%；2025-08-14从峰值回撤约2.8%后退出,0.53
2025-08-11,4,48.2,002537,海联金汇,9.44,3.92,7.94,8.47,8.47,7.2,12.61,-0.95,完整5日,是,9.43,强势止盈/清仓,2,10.35,4.3,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,11.35,-0.85,2025-08-12盘中达到第一止盈，但T+1不可卖；2025-08-13达到第一止盈：卖出50%；盘中达到涨停级别，剩余仓位清仓,7.2
2025-08-11,5,46.7,601908,京运通,3.78,-1.06,-1.59,-3.97,-1.59,1.32,1.85,-4.23,完整5日,是,3.77,T+5收盘退出,5,3.83,1.39,3.0,6.0,-3.0,-6.0,50.0,,T+5,2.12,-3.98,2025-08-14触发软止损预警；2025-08-15触发软止损预警,1.32
2025-08-12,1,45.6,601022,宁波远洋,9.98,-1.9,-4.21,-3.61,-3.21,-3.51,-0.8,-4.61,完整5日,是,9.9,T+5收盘退出,5,9.63,-2.93,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.0,-3.84,2025-08-14触发软止损预警；2025-08-15触发软止损预警；2025-08-18触发软止损预警；2025-08-19触发软止损预警,-3.51
2025-08-12,2,45.3,600939,重庆建工,3.75,-1.6,-3.73,-3.2,-1.07,-1.87,3.73,-4.0,完整5日,是,3.76,移动止盈退出,4,3.71,0.64,3.0,6.0,-3.0,-6.0,50.0,T+4,T+4,3.46,-4.26,2025-08-14触发软止损预警；2025-08-15触发软止损预警；2025-08-18达到第一止盈：卖出50%；2025-08-18从峰值回撤约2.2%后退出,-1.87
2025-08-12,3,43.9,002094,青岛金王,8.89,-0.9,0.11,-1.69,-1.46,-0.45,2.7,-3.49,完整5日,是,8.92,T+5收盘退出,5,8.85,-0.98,3.0,6.0,-3.0,-6.0,50.0,,T+5,2.35,-3.81,2025-08-15触发软止损预警；2025-08-18触发软止损预警,-0.45
2025-08-12,4,43.6,002640,跨境通,5.36,-1.87,-3.17,-2.8,-2.24,-0.37,0.0,-4.85,完整5日,是,5.32,T+5收盘退出,5,5.34,0.18,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.75,-4.14,2025-08-14触发软止损预警；2025-08-15触发软止损预警,-0.37
2025-08-12,5,40.4,002235,安妮股份,8.2,2.56,7.32,10.49,9.27,5.85,15.12,-1.71,完整5日,是,8.18,强势止盈/清仓,2,8.98,4.3,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,11.0,-1.47,2025-08-13盘中达到第一止盈，但T+1不可卖；2025-08-14达到第一止盈：卖出50%；盘中达到涨停级别，剩余仓位清仓,5.85
2025-08-13,1,45.9,002342,巨力索具,7.54,9.95,17.51,24.8,17.11,14.85,28.38,-2.39,完整5日,是,7.46,强势止盈/清仓,2,8.19,4.3,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,22.25,-1.34,2025-08-14盘中达到第一止盈，但T+1不可卖；2025-08-15达到第一止盈：卖出50%；盘中达到涨停级别，剩余仓位清仓,14.85
2025-08-13,2,40.8,002263,大东南,3.57,-2.8,0.28,2.24,2.52,2.24,4.48,-3.36,完整5日,是,3.55,首止盈后T+5退出,5,3.65,2.71,3.0,6.0,-3.0,-6.0,50.0,T+3,T+5,5.07,-2.82,2025-08-18达到第一止盈：卖出50%,2.24
2025-08-13,3,40.4,600643,爱建集团,6.18,-0.97,0.81,1.13,0.97,0.32,1.94,-2.27,完整5日,是,6.16,T+5收盘退出,5,6.2,0.45,3.0,6.0,-3.0,-6.0,50.0,,T+5,2.27,-1.95,5日内未触发关键退出信号,0.32
2025-08-13,4,36.9,002098,浔兴股份,9.47,1.8,1.16,1.37,4.86,4.01,4.86,-0.42,完整5日,是,9.48,首止盈后T+5退出,5,9.85,3.25,3.0,6.0,-3.0,-6.0,50.0,T+4,T+5,4.75,-0.53,2025-08-14盘中达到第一止盈，但T+1不可卖；2025-08-19达到第一止盈：卖出50%,4.01
