推荐日,排名,代码,名称,T+1开盘,T+1最高,T+1最低,T+1收盘,T+1当日涨跌%,T+1买入后涨跌%,T+1累计%,T+2开盘,T+2最高,T+2最低,T+2收盘,T+2当日涨跌%,T+2买入后涨跌%,T+2累计%,T+3开盘,T+3最高,T+3最低,T+3收盘,T+3当日涨跌%,T+3买入后涨跌%,T+3累计%,T+4开盘,T+4最高,T+4最低,T+4收盘,T+4当日涨跌%,T+4买入后涨跌%,T+4累计%,T+5开盘,T+5最高,T+5最低,T+5收盘,T+5当日涨跌%,T+5买入后涨跌%,T+5累计%,T+6开盘,T+6最高,T+6最低,T+6收盘,T+6当日涨跌%,T+6买入后涨跌%,T+6累计%,推荐日收盘,MFE6%,MAE6%,首次≥3%,首次≥5%,首次≥8%,首次≥10%,首次≥15%,路径完整度,推荐排名,旧固定净收益%,趋势跟随净收益%,T+6持有净收益%,旧模型退出,趋势模型退出,交易备注
2026-08-28,2,000990,诚志股份,6.66,6.76,6.53,6.71,0.45,0.75,0.75,6.7,6.89,6.67,6.83,1.79,2.55,2.55,6.93,6.93,6.67,6.69,-2.05,0.45,0.45,6.73,6.75,6.61,6.62,-1.05,-0.6,-0.6,6.63,6.7,6.42,6.47,-2.27,-2.85,-2.85,6.5,6.57,6.47,6.53,0.93,-1.95,-1.95,6.68,4.05,-3.6,T+2,,,,,完整T+6,2,2.8,-2.15,-2.15,T+6收盘,T+6收盘,旧:2026-09-01TP1卖50%；2026-09-02TP1卖50%｜趋势:
2026-08-28,3,605388,均瑶健康,6.3,6.3,6.08,6.14,-1.92,-2.54,-2.54,6.14,6.35,6.13,6.31,2.77,0.16,0.16,6.28,6.3,6.11,6.14,-2.69,-2.54,-2.54,6.15,6.19,6.03,6.04,-1.63,-4.13,-4.13,6.04,6.25,6.01,6.18,2.32,-1.9,-1.9,6.18,6.6,6.14,6.49,5.02,3.02,3.02,6.26,4.76,-4.6,T+6,,,,,完整T+6,3,2.81,2.82,2.82,T+6收盘,T+6收盘,旧:2026-09-07TP1卖50%｜趋势:
2026-08-31,1,002474,榕基软件,6.35,6.61,6.32,6.6,3.61,3.94,3.94,6.51,6.6,6.46,6.56,-0.61,3.31,3.31,6.6,6.61,6.44,6.46,-1.52,1.73,1.73,6.51,6.68,6.51,6.56,1.55,3.31,3.31,6.55,6.6,6.49,6.52,-0.61,2.68,2.68,6.51,6.65,6.47,6.58,0.92,3.62,3.62,6.37,5.2,-0.47,T+1,T+4,,,,完整T+6,1,2.8,3.42,3.42,T+6收盘,T+6收盘,旧:2026-09-02TP1卖50%；2026-09-03TP1卖50%｜趋势:
2026-08-31,2,002659,凯文教育,4.61,4.77,4.61,4.75,2.37,3.04,3.04,4.71,4.79,4.64,4.77,0.42,3.47,3.47,4.77,4.82,4.53,4.56,-4.4,-1.08,-1.08,4.58,4.73,4.56,4.63,1.54,0.43,0.43,4.63,4.69,4.6,4.65,0.43,0.87,0.87,4.67,4.91,4.65,4.82,3.66,4.56,4.56,4.64,6.51,-1.74,T+1,T+6,,,,完整T+6,2,2.8,4.36,4.36,T+6收盘,T+6收盘,旧:2026-09-02TP1卖50%；2026-09-03TP1卖50%｜趋势:
2026-08-31,3,002195,岩山科技,6.42,6.59,6.41,6.57,1.7,2.34,2.34,6.49,6.53,6.37,6.41,-2.44,-0.16,-0.16,6.41,6.47,6.31,6.34,-1.09,-1.25,-1.25,6.38,6.52,6.34,6.37,0.47,-0.78,-0.78,6.34,6.41,6.29,6.31,-0.94,-1.71,-1.71,6.31,6.4,6.27,6.33,0.32,-1.4,-1.4,6.46,2.65,-2.34,,,,,,完整T+6,3,-1.6,-1.6,-1.6,T+6收盘,T+6收盘,旧:｜趋势:
2026-09-01,1,002242,九阳股份,8.55,8.59,8.35,8.35,-3.02,-2.34,-2.34,8.37,8.47,8.28,8.29,-0.72,-3.04,-3.04,8.3,8.47,8.3,8.36,0.84,-2.22,-2.22,8.51,8.81,8.37,8.59,2.75,0.47,0.47,8.61,8.91,8.59,8.71,1.4,1.87,1.87,8.66,8.78,8.46,8.5,-2.41,-0.58,-0.58,8.61,4.21,-3.16,T+4,,,,,完整T+6,1,2.8,-0.78,-0.78,T+6收盘,T+6收盘,旧:2026-09-07TP1卖50%；2026-09-08TP1卖50%｜趋势:
2026-09-01,2,002546,新联电子,8.0,8.02,7.88,7.95,-1.0,-0.62,-0.62,8.01,8.09,7.91,7.98,0.38,-0.25,-0.25,8.0,8.09,7.89,7.93,-0.63,-0.88,-0.88,7.93,7.98,7.71,7.73,-2.52,-3.37,-3.37,7.75,7.8,7.7,7.77,0.52,-2.88,-2.88,7.75,7.78,7.71,7.77,0.0,-2.88,-2.88,8.03,1.12,-3.75,,,,,,完整T+6,2,-3.08,-3.08,-3.08,T+6收盘,T+6收盘,旧:｜趋势:
2026-09-03,1,600863,华能蒙电,4.72,4.79,4.7,4.72,0.0,0.0,0.0,4.75,4.77,4.62,4.65,-1.48,-1.48,-1.48,4.64,4.86,4.62,4.84,4.09,2.54,2.54,4.78,4.92,4.74,4.88,0.83,3.39,3.39,4.85,4.94,4.8,4.87,-0.2,3.18,3.18,4.87,4.88,4.71,4.84,-0.62,2.54,2.54,4.72,4.66,-2.12,T+4,,,,,完整T+6,1,2.8,2.34,2.34,T+6收盘,T+6收盘,旧:2026-09-09TP1卖50%；2026-09-10TP1卖50%｜趋势:
2026-09-08,1,002030,达安基因,5.61,5.61,5.47,5.5,-2.14,-1.96,-1.96,5.46,5.5,5.35,5.41,-1.64,-3.57,-3.57,5.36,5.37,5.24,5.28,-2.4,-5.88,-5.88,5.28,5.37,5.2,5.35,1.33,-4.63,-4.63,5.34,5.34,5.21,5.21,-2.62,-7.13,-7.13,5.2,5.25,5.16,5.22,0.19,-6.95,-6.95,5.62,0.0,-8.02,,,,,,完整T+6,1,-7.33,-7.15,-7.15,旧固定硬止损,T+6收盘,旧:｜趋势:
2026-09-08,2,000936,华西股份,5.75,5.76,5.61,5.64,-1.91,-1.91,-1.91,5.6,5.63,5.55,5.56,-1.42,-3.3,-3.3,5.5,5.53,5.37,5.44,-2.16,-5.39,-5.39,5.41,5.51,5.38,5.49,0.92,-4.52,-4.52,5.46,5.5,5.34,5.35,-2.55,-6.96,-6.96,5.35,5.47,5.31,5.45,1.87,-5.22,-5.22,5.75,0.17,-7.65,,,,,,完整T+6,2,-7.16,-7.16,-5.42,旧固定硬止损,趋势结构破坏,旧:｜趋势:
2026-09-09,1,000630,铜陵有色,6.59,6.63,6.47,6.5,-1.07,-1.37,-1.37,6.19,6.21,6.03,6.17,-5.08,-6.37,-6.37,6.05,6.13,6.03,6.09,-1.3,-7.59,-7.59,6.05,6.09,6.01,6.02,-1.15,-8.65,-8.65,6.03,6.12,5.98,6.09,1.16,-7.59,-7.59,6.04,6.08,5.98,6.02,-1.15,-8.65,-8.65,6.57,0.61,-9.26,,,,,,完整T+6,1,-6.57,-6.57,-8.85,旧固定硬止损,趋势结构破坏,旧:｜趋势:
2026-09-09,2,000546,金圆股份,4.79,4.79,4.68,4.68,-2.3,-2.3,-2.3,4.63,4.64,4.44,4.57,-2.35,-4.59,-4.59,4.57,4.6,4.52,4.56,-0.22,-4.8,-4.8,4.55,4.55,4.43,4.44,-2.63,-7.31,-7.31,4.46,4.53,4.38,4.5,1.35,-6.05,-6.05,4.46,4.51,4.4,4.46,-0.89,-6.89,-6.89,4.79,0.0,-8.56,,,,,,完整T+6,2,-7.51,-7.09,-7.09,旧固定硬止损,T+6收盘,旧:｜趋势:
2026-09-11,1,000595,新能股份,5.55,5.74,5.49,5.55,0.0,0.0,0.0,5.57,5.64,5.38,5.38,-3.06,-3.06,-3.06,5.36,5.52,5.33,5.43,0.93,-2.16,-2.16,5.4,5.4,5.22,5.24,-3.5,-5.59,-5.59,5.27,5.36,5.23,5.27,0.57,-5.05,-5.05,5.27,5.34,5.25,5.32,0.95,-4.14,-4.14,5.55,3.42,-5.95,T+1,,,,,完整T+6,1,-4.34,-4.34,-4.34,T+6收盘,T+6收盘,旧:｜趋势:
2026-09-17,1,002045,国光电器,9.14,9.2,8.99,9.05,-1.09,-0.98,-0.98,9.06,9.11,8.98,9.06,0.11,-0.88,-0.88,9.32,9.63,9.28,9.4,3.75,2.84,2.84,9.37,9.39,9.01,9.09,-3.3,-0.55,-0.55,9.11,9.18,8.86,8.89,-2.2,-2.74,-2.74,,,,,,,,9.15,5.36,-3.06,T+3,T+3,,,,仅T+5,1,-0.07,-2.94,,数据截止T+5,数据截止T+5,旧:2026-09-22TP1卖50%｜趋势:
2026-09-17,2,002638,勤上股份,4.22,4.25,4.18,4.24,0.24,0.47,0.47,4.23,4.34,4.2,4.31,1.65,2.13,2.13,4.3,4.44,4.29,4.31,0.0,2.13,2.13,4.31,4.74,4.23,4.74,9.98,12.32,12.32,4.72,5.15,4.64,4.93,4.01,16.82,16.82,,,,,,,,4.23,22.04,-0.95,T+3,T+3,T+4,T+4,T+5,仅T+5,2,2.8,16.62,,数据截止T+5,数据截止T+5,旧:2026-09-22TP1卖50%；2026-09-23TP1卖50%｜趋势:
2026-09-18,1,605268,王力安防,9.59,9.77,9.59,9.75,1.25,1.67,1.67,9.73,10.0,9.68,9.87,1.23,2.92,2.92,9.87,10.86,9.81,10.33,4.66,7.72,7.72,10.15,10.53,10.13,10.15,-1.74,5.84,5.84,,,,,,,,,,,,,,,9.63,13.24,0.0,T+2,T+3,T+3,T+3,,仅T+4,1,2.8,7.52,,数据截止T+4,趋势跟随峰值回撤,旧:2026-09-22TP1卖50%；2026-09-23TP1卖50%｜趋势:峰值回撤3.5%
2026-09-18,2,002374,中锐股份,3.1,3.22,3.09,3.19,2.9,2.9,2.9,3.19,3.22,3.12,3.18,-0.31,2.58,2.58,3.19,3.31,3.15,3.24,1.89,4.52,4.52,3.23,3.28,3.21,3.22,-0.62,3.87,3.87,,,,,,,,,,,,,,,3.1,6.77,-0.32,T+1,T+3,,,,仅T+4,2,2.8,3.67,,数据截止T+4,趋势跟随峰值回撤,旧:2026-09-22TP1卖50%；2026-09-23TP1卖50%｜趋势:峰值回撤2.5%
2026-09-18,3,600626,申达股份,3.69,3.97,3.69,3.89,5.71,5.42,5.42,3.86,3.91,3.76,3.83,-1.54,3.79,3.79,3.83,3.85,3.72,3.79,-1.04,2.71,2.71,3.76,3.91,3.74,3.81,0.53,3.25,3.25,,,,,,,,,,,,,,,3.68,7.59,0.0,T+1,T+1,,,,仅T+4,3,2.8,3.59,,数据截止T+4,趋势跟随峰值回撤,旧:2026-09-22TP1卖50%；2026-09-23TP1卖50%｜趋势:峰值回撤2.5%
2026-09-18,4,000718,苏宁环球,2.02,2.09,1.97,2.08,3.48,2.97,2.97,2.07,2.1,2.02,2.07,-0.48,2.48,2.48,2.07,2.13,2.06,2.07,0.0,2.48,2.48,2.06,2.08,2.0,2.04,-1.45,0.99,0.99,,,,,,,,,,,,,,,2.01,5.45,-2.48,T+1,T+3,,,,仅T+4,4,2.8,0.79,,数据截止T+4,数据截止T+4,旧:2026-09-22TP1卖50%；2026-09-23TP1卖50%｜趋势:
2026-09-18,5,002067,景兴纸业,4.09,4.2,4.08,4.19,2.44,2.44,2.44,4.2,4.21,4.09,4.1,-2.15,0.24,0.24,4.13,4.13,4.01,4.02,-1.95,-1.71,-1.71,4.01,4.07,3.98,4.0,-0.5,-2.2,-2.2,,,,,,,,,,,,,,,4.09,2.93,-2.69,,,,,,仅T+4,5,-2.4,-2.4,,数据截止T+4,数据截止T+4,旧:｜趋势:
2026-09-21,1,605136,丽人丽妆,8.56,8.72,8.52,8.62,0.35,0.7,0.7,8.58,8.59,8.4,8.43,-2.2,-1.52,-1.52,8.46,8.55,8.39,8.46,0.36,-1.17,-1.17,,,,,,,,,,,,,,,,,,,,,,8.59,1.87,-1.99,,,,,,仅T+3,1,-1.37,-1.37,,数据截止T+3,数据截止T+3,旧:｜趋势:
2026-09-21,2,002291,遥望科技,5.71,5.76,5.61,5.71,1.24,0.0,0.0,5.7,5.7,5.47,5.49,-3.85,-3.85,-3.85,5.5,5.76,5.43,5.45,-0.73,-4.55,-4.55,,,,,,,,,,,,,,,,,,,,,,5.64,0.88,-4.9,,,,,,仅T+3,2,-4.75,-4.75,,数据截止T+3,数据截止T+3,旧:｜趋势:
2026-09-21,3,600433,冠豪高新,3.39,3.4,3.34,3.37,-0.3,-0.59,-0.59,3.37,3.37,3.28,3.29,-2.37,-2.95,-2.95,3.28,3.33,3.25,3.26,-0.91,-3.83,-3.83,,,,,,,,,,,,,,,,,,,,,,3.38,0.29,-4.13,,,,,,仅T+3,3,-4.03,-4.03,,数据截止T+3,数据截止T+3,旧:｜趋势:
2026-09-21,4,600527,江南高纤,2.26,2.26,2.18,2.2,-2.22,-2.65,-2.65,2.2,2.22,2.18,2.19,-0.45,-3.1,-3.1,2.18,2.22,2.17,2.19,0.0,-3.1,-3.1,,,,,,,,,,,,,,,,,,,,,,2.25,0.0,-3.98,,,,,,仅T+3,4,-3.3,-3.3,,数据截止T+3,数据截止T+3,旧:｜趋势:
2026-09-21,5,601789,宁波建工,4.2,4.37,4.18,4.26,1.43,1.43,1.43,4.23,4.43,4.19,4.36,2.35,3.81,3.81,4.27,4.3,4.19,4.19,-3.9,-0.24,-0.24,,,,,,,,,,,,,,,,,,,,,,4.2,5.48,-0.48,T+1,T+2,,,,仅T+3,5,1.18,-0.44,,数据截止T+3,数据截止T+3,旧:2026-09-23TP1卖50%｜趋势:
2026-09-22,1,000917,电广传媒,7.09,7.13,6.93,6.93,-2.53,-2.26,-2.26,6.92,7.01,6.82,6.84,-1.3,-3.53,-3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.11,0.56,-3.81,,,,,,仅T+2,1,-3.73,-3.73,,数据截止T+2,数据截止T+2,旧:｜趋势:
2026-09-23,1,000626,远大控股,9.28,9.31,8.86,8.96,-4.38,-3.45,-3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.37,0.32,-4.53,,,,,,仅T+1,1,-3.65,-3.65,,数据截止T+1,数据截止T+1,旧:｜趋势:
2026-09-23,2,002562,兄弟科技,4.95,5.3,4.95,5.0,0.4,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98,7.07,0.0,T+1,T+1,,,,仅T+1,2,0.81,0.81,,数据截止T+1,数据截止T+1,旧:｜趋势:
2026-09-24,1,000635,英力特,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,无后续数据,1,,,,,,旧:｜趋势:
2026-09-24,2,000785,居然智家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,无后续数据,2,,,,,,旧:｜趋势:
