排名,代码,名称,极度推荐,极度推荐排名,极度推荐分,启动评分,推荐度,涨停基因分,MACD阶段,MACD距,MACD距变化1日%,MACD距变化2日%,绿柱连续缩短,修复质量,前期形态,60日涨幅%,60日高点回撤%,近20日位置%,最新价,今日涨跌%,今日状态,MA5状态,MA5,MA10,MA20,MA60,RSI14,RSI状态,K值,D值,J值,KDJ状态,量比,5/20量比,20日涨幅%,近10日最大涨幅%,成交额(万),近一年涨停次数,相对强度,相对大盘1日%,相对大盘5日%,相对大盘20日%,市场评分,市场状态,严格匹配度,收盘交易状态
17,000402,金融街,,,77.0,70.1,60.7,48.0,修复中,0.0106,34.2,35.6,2,86.0,正常修复,-1.56,-10.32,46.2,2.52,2.86,偏强上涨｜谨防追高,修复中｜站稳5日线,2.46,2.51,2.52,2.48,50.98,中性,26.47,22.62,34.17,多头,2.07,0.62,2.44,2.86,15637.32,5,56.3,2.14,2.64,2.33,61.9,震荡偏强，精选个股,68.5,结构偏弱，不建议因为低价或历史涨停次数单独介入
18,603222,济民健康,,,79.1,81.1,60.3,75.8,早期修复,0.0265,21.7,39.3,3,93.0,正常修复,11.32,-28.72,24.7,7.77,-0.38,低位震荡/轻微回落,早期修复｜站稳5日线,7.75,7.88,8.03,8.41,39.5,中性,19.92,17.42,24.92,多头,1.63,0.84,-5.47,0.91,9795.84,10,46.2,-1.1,0.08,-5.58,61.9,震荡偏强，精选个股,89.7,结构偏弱，不建议因为低价或历史涨停次数单独介入
19,600743,华远控股,,,83.6,71.1,59.8,59.0,早期修复,0.0117,35.1,47.1,3,100.0,正常修复,-2.75,-14.17,52.2,2.12,1.92,温和上涨,早期修复｜站稳5日线,2.07,2.11,2.18,2.16,45.98,中性,32.39,23.88,49.4,多头,1.66,0.71,-4.93,3.76,8680.32,7,51.8,1.21,2.62,-5.04,61.9,震荡偏强，精选个股,74.4,结构偏弱，不建议因为低价或历史涨停次数单独介入
20,600626,申达股份,,,74.4,83.1,59.7,38.3,修复中,0.0083,29.6,56.4,2,91.0,正常修复,14.28,-2.13,69.2,3.68,-0.54,低位震荡/轻微回落,修复中｜站稳5日线,3.63,3.65,3.64,3.45,55.29,偏强,54.4,48.32,66.57,多头,1.09,1.03,4.55,3.64,4170.49,5,53.2,-1.26,2.71,4.44,61.9,震荡偏强，精选个股,88.7,接近阶段平台高点，重点观察放量突破是否成立
21,601700,风范股份,,,77.7,82.7,59.6,79.6,早期修复,0.2063,14.0,23.9,3,80.0,前期大涨后深回撤,47.67,-27.68,22.9,6.35,0.63,温和上涨,早期修复｜站稳5日线,6.22,6.48,7.2,6.03,43.97,中性,16.2,13.59,21.41,多头,1.07,0.47,-9.42,2.94,46752.67,16,43.5,-0.08,-2.1,-9.52,61.9,震荡偏强，精选个股,87.1,结构偏弱，不建议因为低价或历史涨停次数单独介入
22,600708,光明地产,,,77.8,95.1,58.6,43.7,修复中,0.0029,63.0,66.5,2,80.0,正常修复,-7.32,-12.64,41.9,3.04,2.01,温和上涨,修复中｜站稳5日线,2.98,3.03,3.04,3.11,48.96,中性,28.6,27.48,30.85,多头,1.21,0.68,0.0,2.28,4639.94,6,52.7,1.3,1.2,-0.11,61.9,震荡偏强，精选个股,88.1,价格仍在20日线上方，但结构优势有限，等待进一步确认
23,603327,福蓉科技,,,81.1,82.7,58.5,66.0,早期修复,0.1065,15.5,25.2,3,88.0,正常修复,-13.66,-19.9,18.5,8.41,0.36,低位震荡/轻微回落,早期修复｜站稳5日线,8.34,8.6,9.07,8.8,37.76,中性,13.23,11.37,16.96,多头,1.05,0.46,-9.86,1.22,12179.13,8,45.4,-0.36,0.32,-9.97,61.9,震荡偏强，精选个股,79.0,结构偏弱，不建议因为低价或历史涨停次数单独介入
24,600126,杭钢股份,,,80.3,93.1,58.3,54.1,早期修复,0.0369,21.0,26.0,4,93.0,前期大涨后深回撤,2.83,-17.6,23.3,6.18,1.15,温和上涨,早期修复｜站上5日线,6.15,6.26,6.44,6.4,41.26,中性,15.85,14.36,18.81,多头,1.08,0.56,-8.85,2.82,17087.26,6,46.5,0.43,0.04,-8.96,61.9,震荡偏强，精选个股,88.0,结构偏弱，不建议因为低价或历史涨停次数单独介入
25,003016,欣贺股份,,,73.4,65.1,57.7,28.4,修复中,0.0197,44.2,50.3,2,91.0,正常修复,19.65,-2.62,73.3,7.43,2.62,偏强上涨｜谨防追高,修复中｜站稳5日线,7.2,7.3,7.21,6.79,58.85,偏强,51.42,48.04,58.18,多头,1.53,1.24,7.68,2.88,6156.55,5,59.8,1.91,4.12,7.57,61.9,震荡偏强，精选个股,74.9,接近阶段平台高点，重点观察放量突破是否成立
26,000678,襄阳轴承,,,74.5,86.7,57.4,38.1,修复中,0.0444,19.6,40.5,2,78.0,前期大涨后深回撤,7.31,-14.75,46.9,8.96,-0.67,低位震荡/轻微回落,修复中｜站稳5日线,8.81,9.03,8.99,8.71,49.68,中性,35.45,33.28,39.77,多头,1.32,0.72,4.07,4.52,9182.35,6,50.4,-1.38,0.32,3.96,61.9,震荡偏强，精选个股,86.8,结构偏弱，不建议因为低价或历史涨停次数单独介入
27,002437,誉衡药业,,,76.3,82.7,57.2,68.9,早期修复,0.1117,14.1,22.9,3,80.0,前期大涨后深回撤,42.8,-31.96,21.0,3.47,1.17,温和上涨,早期修复｜站稳5日线,3.43,3.58,3.95,3.49,43.32,中性,13.89,11.97,17.72,多头,1.25,0.5,-20.23,2.03,101104.77,9,41.6,0.45,0.2,-20.34,61.9,震荡偏强，精选个股,84.3,结构偏弱，不建议因为低价或历史涨停次数单独介入
28,002546,新联电子,,,81.3,96.1,57.1,65.9,早期修复,0.0242,37.3,46.5,3,87.0,前期大涨后深回撤,-2.56,-16.19,35.1,7.61,1.47,温和上涨,早期修复｜站上5日线,7.52,7.6,7.78,7.96,42.35,中性,26.93,20.61,39.58,多头,1.27,0.68,-4.52,1.47,7748.52,8,50.0,0.75,1.13,-4.62,61.9,震荡偏强，精选个股,92.9,结构偏弱，不建议因为低价或历史涨停次数单独介入
29,600433,冠豪高新,,,78.0,96.1,56.4,36.5,修复中,0.0142,20.5,26.0,2,86.0,正常修复,5.75,-5.7,48.1,3.31,0.91,温和上涨,修复中｜站稳5日线,3.28,3.33,3.36,3.3,47.51,中性,36.11,33.65,41.03,多头,1.03,0.74,0.61,2.38,6900.69,6,51.0,0.2,0.51,0.5,61.9,震荡偏强，精选个股,94.6,结构偏弱，不建议因为低价或历史涨停次数单独介入
30,000006,深振业A,,,81.3,91.1,56.4,61.2,修复中,0.0314,41.0,51.1,2,86.0,正常修复,-1.53,-9.49,51.6,7.06,2.77,偏强上涨｜谨防追高,修复中｜站稳5日线,6.82,6.97,7.05,6.87,51.63,中性,30.37,22.58,45.96,多头,1.31,0.62,0.0,3.52,10426.16,8,55.7,2.05,3.27,-0.11,61.9,震荡偏强，精选个股,83.5,价格仍在20日线上方，但结构优势有限，等待进一步确认
