排名,代码,名称,极度推荐,极度推荐排名,极度推荐分,启动评分,推荐度,涨停基因分,MACD阶段,MACD距,MACD距变化1日%,MACD距变化2日%,绿柱连续缩短,修复质量,前期形态,60日涨幅%,60日高点回撤%,近20日位置%,最新价,今日涨跌%,今日状态,MA5状态,MA5,MA10,MA20,MA60,RSI14,RSI状态,K值,D值,J值,KDJ状态,量比,5/20量比,20日涨幅%,近10日最大涨幅%,成交额(万),近一年涨停次数,相对强度,相对大盘1日%,相对大盘5日%,相对大盘20日%,市场评分,市场状态,严格匹配度,收盘交易状态
1,002291,遥望科技,,,84.7,92.1,89.6,57.5,早期修复,0.0241,30.2,36.8,3,100.0,前期上涨后回撤,17.5,-9.76,56.5,5.64,1.99,温和上涨,早期修复｜站稳5日线,5.49,5.58,5.56,5.25,54.81,中性,42.89,36.02,56.62,多头,1.22,0.62,11.02,2.06,15889.64,9,55.6,0.51,1.07,8.61,81.8,偏强，可积极寻找相对强势股,100.0,中期趋势仍在，但短线位置一般，更适合等待回踩确认
2,605136,丽人丽妆,,,84.8,100.0,87.7,51.3,早期修复,0.0252,32.9,42.1,3,100.0,正常修复,20.94,-6.12,63.2,8.59,1.42,温和上涨,早期修复｜站稳5日线,8.4,8.5,8.46,7.97,56.42,偏强,47.92,40.27,63.2,多头,1.14,0.72,8.6,2.21,5073.46,7,53.7,-0.06,0.97,6.18,81.8,偏强，可积极寻找相对强势股,100.0,中期趋势仍在，但短线位置一般，更适合等待回踩确认
3,002421,达实智能,TOP5,1,87.3,87.1,85.3,82.3,修复中,0.0166,29.7,35.3,2,91.0,前期大涨后深回撤,-5.54,-16.49,48.5,3.24,2.21,温和上涨,修复中｜站稳5日线,3.17,3.23,3.28,3.18,49.12,中性,31.24,26.06,41.61,多头,1.46,0.6,7.64,2.21,32886.79,16,52.3,0.73,-0.98,5.23,81.8,偏强，可积极寻找相对强势股,100.0,结构偏弱，不建议因为低价或历史涨停次数单独介入
4,600433,冠豪高新,,,81.2,98.1,83.1,36.5,早期修复,0.0066,53.2,62.8,3,100.0,正常修复,6.62,-3.7,74.1,3.38,2.11,温和上涨,早期修复｜站稳5日线,3.29,3.33,3.37,3.3,52.9,中性,49.71,39.0,71.13,多头,1.36,0.8,4.0,2.38,8535.13,6,52.3,0.64,0.82,1.59,81.8,偏强，可积极寻找相对强势股,91.6,接近阶段平台高点，重点观察放量突破是否成立
5,600986,浙文互联,,,85.0,93.1,79.8,68.1,修复中,0.0275,29.6,38.1,2,91.0,前期大涨后深回撤,4.05,-16.59,33.3,7.19,1.27,温和上涨,修复中｜站稳5日线,7.08,7.21,7.29,7.21,46.51,中性,26.0,23.71,30.57,多头,1.2,0.57,4.35,1.33,22790.96,11,49.8,-0.21,-0.87,1.94,81.8,偏强，可积极寻找相对强势股,100.0,结构偏弱，不建议因为低价或历史涨停次数单独介入
6,002520,日发精机,,,84.5,78.1,78.9,63.7,早期修复,0.0204,49.5,60.1,3,100.0,前期大涨后深回撤,-4.61,-22.02,84.6,6.41,2.89,偏强上涨｜谨防追高,早期修复｜站稳5日线,6.15,6.25,6.32,6.18,54.77,中性,56.21,44.59,79.46,多头,1.13,0.75,10.71,2.89,14227.53,9,58.2,1.41,2.77,8.3,81.8,偏强，可积极寻找相对强势股,99.7,接近阶段平台高点，重点观察放量突破是否成立
7,002575,群兴玩具,,,81.5,89.7,76.7,71.5,早期修复,0.0313,19.3,28.2,3,85.0,前期大涨后深回撤,-7.98,-14.64,38.7,5.19,0.78,温和上涨,早期修复｜站稳5日线,5.11,5.22,5.3,5.14,47.72,中性,31.51,29.45,35.61,多头,1.05,0.65,6.79,1.4,6806.57,12,49.6,-0.7,-1.48,4.38,81.8,偏强，可积极寻找相对强势股,100.0,结构偏弱，不建议因为低价或历史涨停次数单独介入
8,002474,榕基软件,,,82.0,72.1,76.5,66.9,修复中,0.0136,47.6,50.8,2,88.0,正常修复,14.44,-11.2,66.0,6.5,2.52,偏强上涨｜谨防追高,修复中｜站上5日线,6.35,6.4,6.41,6.16,54.44,中性,42.04,38.7,48.74,多头,1.01,0.84,8.15,2.52,10872.96,14,52.7,1.05,-1.14,5.74,81.8,偏强，可积极寻找相对强势股,98.0,接近阶段平台高点，重点观察放量突破是否成立
9,600477,杭萧钢构,,,79.9,90.1,74.6,48.1,修复中,0.008,35.3,39.9,2,86.0,正常修复,7.39,-7.14,58.8,2.47,2.07,温和上涨,修复中｜站稳5日线,2.42,2.45,2.47,2.41,52.54,中性,35.74,26.19,54.83,多头,1.54,0.62,3.78,2.43,7228.61,8,51.3,0.59,-0.06,1.37,81.8,偏强，可积极寻找相对强势股,85.5,结构偏弱，不建议因为低价或历史涨停次数单独介入
10,002131,利欧股份,TOP5,2,86.1,84.1,73.1,71.8,早期修复,0.0162,34.2,52.2,4,100.0,前期大涨后深回撤,-3.01,-25.7,38.2,4.51,0.22,低位震荡/轻微回落,早期修复｜站稳5日线,4.45,4.51,4.61,4.61,44.84,中性,31.42,24.67,44.91,多头,1.05,0.54,2.5,1.35,92504.85,11,48.1,-1.25,-0.4,0.09,81.8,偏强，可积极寻找相对强势股,97.4,结构偏弱，不建议因为低价或历史涨停次数单独介入
