排名,代码,名称,极度推荐,极度推荐排名,极度推荐分,启动评分,推荐度,涨停基因分,MACD阶段,MACD距,MACD距变化1日%,MACD距变化2日%,绿柱连续缩短,修复质量,前期形态,60日涨幅%,60日高点回撤%,近20日位置%,最新价,今日涨跌%,今日状态,MA5状态,MA5,MA10,MA20,MA60,RSI14,RSI状态,K值,D值,J值,KDJ状态,量比,5/20量比,20日涨幅%,近10日最大涨幅%,成交额(万),近一年涨停次数,相对强度,相对大盘1日%,相对大盘5日%,相对大盘20日%,市场评分,市场状态,严格匹配度,收盘交易状态
11,603278,大业股份,,,82.4,96.1,72.4,74.5,修复中,0.0108,51.3,63.1,2,80.0,正常修复,-12.51,-25.16,41.3,9.16,0.88,温和上涨,修复中｜站稳5日线,9.02,9.16,9.21,9.33,47.97,中性,34.0,30.75,40.49,多头,1.1,0.8,2.58,1.34,5251.95,17,48.6,-0.59,-0.74,0.16,81.8,偏强，可积极寻找相对强势股,100.0,结构偏弱，不建议因为低价或历史涨停次数单独介入
12,605268,王力安防,,,84.1,100.0,71.4,52.2,早期修复,0.0179,46.9,60.2,3,100.0,正常修复,10.16,-4.04,77.4,9.75,1.25,温和上涨,早期修复｜站稳5日线,9.53,9.61,9.62,9.28,56.06,偏强,53.08,44.03,71.17,多头,1.12,0.66,4.28,2.01,2146.78,6,50.4,-0.23,-0.15,1.87,81.8,偏强，可积极寻找相对强势股,96.8,接近阶段平台高点，重点观察放量突破是否成立
13,002455,百川股份,,,81.1,89.7,71.1,59.1,早期修复,0.082,14.5,24.5,4,93.0,正常修复,0.7,-12.7,31.2,7.15,0.28,低位震荡/轻微回落,早期修复｜站稳5日线,7.08,7.23,7.53,7.06,43.94,中性,25.48,22.97,30.5,多头,1.08,0.46,-0.97,2.31,13154.79,12,46.3,-1.19,-0.73,-3.38,81.8,偏强，可积极寻找相对强势股,85.5,结构偏弱，不建议因为低价或历史涨停次数单独介入
14,002506,协鑫集成,,,82.8,93.1,70.2,57.6,修复中,0.0084,41.9,56.3,2,91.0,正常修复,-17.38,-22.94,50.0,2.52,1.2,温和上涨,修复中｜站稳5日线,2.47,2.52,2.59,2.63,45.59,中性,34.08,25.86,50.52,多头,1.07,0.71,-9.35,2.89,42874.4,14,43.5,-0.27,-0.89,-11.77,81.8,偏强，可积极寻找相对强势股,93.2,结构偏弱，不建议因为低价或历史涨停次数单独介入
15,603912,佳力图,,,83.9,93.1,70.1,45.5,早期修复,0.0725,28.4,44.6,3,100.0,正常修复,17.02,-7.85,57.7,8.8,1.15,温和上涨,早期修复｜站稳5日线,8.51,8.59,8.85,7.98,54.85,中性,39.89,28.34,62.98,多头,1.13,0.55,6.67,4.44,11568.41,8,54.1,-0.33,2.61,4.25,81.8,偏强，可积极寻找相对强势股,98.3,结构偏弱，不建议因为低价或历史涨停次数单独介入
16,603007,顺景科技,,,71.2,89.7,69.3,45.8,修复中,0.0402,15.8,23.5,2,75.0,正常修复,-16.9,-23.62,29.0,4.72,0.64,温和上涨,修复中｜站稳5日线,4.65,4.79,4.94,4.92,44.24,中性,22.15,21.31,23.83,多头,1.22,0.51,4.42,1.31,7807.61,6,47.8,-0.84,-2.13,2.01,81.8,偏强，可积极寻找相对强势股,84.4,结构偏弱，不建议因为低价或历史涨停次数单独介入
17,002153,石基信息,TOP5,3,85.5,90.1,68.3,53.8,早期修复,0.0171,50.7,57.5,3,100.0,正常修复,9.15,-21.08,50.8,7.75,2.38,温和上涨,早期修复｜站稳5日线,7.58,7.69,7.79,7.86,47.8,中性,30.97,25.99,40.92,多头,1.33,0.64,2.24,2.38,10483.66,7,50.5,0.9,-0.51,-0.17,81.8,偏强，可积极寻找相对强势股,90.9,结构偏弱，不建议因为低价或历史涨停次数单独介入
18,600736,苏州高新,,,77.5,87.1,68.3,47.9,修复中,0.0141,63.5,72.2,2,91.0,正常修复,1.34,-5.58,68.2,6.77,3.52,偏强上涨｜谨防追高,修复中｜站稳5日线,6.5,6.59,6.69,6.61,54.52,中性,35.78,24.05,59.25,多头,2.19,0.66,1.96,3.52,17840.35,7,54.9,2.04,2.7,-0.46,81.8,偏强，可积极寻找相对强势股,73.5,价格仍在20日线上方，但结构优势有限，等待进一步确认
19,601789,宁波建工,,,84.7,96.1,68.1,52.2,早期修复,0.0118,38.2,47.7,3,100.0,正常修复,5.8,-14.63,50.0,4.2,1.45,温和上涨,早期修复｜站稳5日线,4.13,4.19,4.24,4.23,46.45,中性,31.41,25.67,42.88,多头,1.28,0.64,0.24,1.45,8224.37,7,48.4,-0.03,-0.57,-2.17,81.8,偏强，可积极寻找相对强势股,97.8,结构偏弱，不建议因为低价或历史涨停次数单独介入
20,000936,华西股份,,,77.2,98.1,66.3,56.1,修复中,0.0147,53.6,67.3,2,80.0,前期大涨后深回撤,8.64,-18.79,64.8,5.66,1.98,温和上涨,修复中｜站稳5日线,5.48,5.53,5.59,5.39,53.23,中性,40.26,31.51,57.78,多头,1.75,0.82,3.85,3.35,14913.9,6,53.1,0.51,1.81,1.44,81.8,偏强，可积极寻找相对强势股,81.1,接近阶段平台高点，重点观察放量突破是否成立
21,002052,同洲电子,TOP5,5,85.1,87.1,65.4,57.3,早期修复,0.0265,36.6,40.4,4,98.0,正常修复,10.31,-14.31,42.5,8.56,2.03,温和上涨,早期修复｜站上5日线,8.43,8.54,8.67,8.59,47.67,中性,28.58,25.61,34.53,多头,1.19,0.59,-5.73,2.03,5297.99,7,47.3,0.55,0.25,-8.14,81.8,偏强，可积极寻找相对强势股,80.2,结构偏弱，不建议因为低价或历史涨停次数单独介入
22,002165,红宝丽,,,82.1,66.7,65.0,84.7,早期修复,0.1471,18.5,23.4,3,88.0,前期大涨后深回撤,12.23,-21.91,25.9,7.34,3.97,偏强上涨｜谨防追高,早期修复｜站稳5日线,7.09,7.42,7.77,6.89,48.45,中性,15.27,14.25,17.33,多头,1.68,0.39,-9.05,3.97,47495.67,14,48.5,2.49,0.65,-11.46,81.8,偏强，可积极寻找相对强势股,66.5,结构偏弱，不建议因为低价或历史涨停次数单独介入
23,000917,电广传媒,,,79.3,77.1,64.7,29.3,早期修复,0.0375,37.5,43.3,3,96.0,正常修复,7.01,-11.9,49.4,7.03,3.53,偏强上涨｜谨防追高,早期修复｜站稳5日线,6.81,6.94,7.08,6.91,50.29,中性,30.45,21.94,47.47,多头,1.7,0.57,2.18,3.53,17947.9,6,53.3,2.06,0.89,-0.23,81.8,偏强，可积极寻找相对强势股,73.0,结构偏弱，不建议因为低价或历史涨停次数单独介入
24,600527,江南高纤,,,83.9,84.1,64.0,54.7,早期修复,0.0085,33.0,36.4,3,100.0,正常修复,4.65,-3.43,60.0,2.25,2.27,温和上涨,早期修复｜站稳5日线,2.2,2.24,2.25,2.17,52.95,中性,41.59,37.81,49.14,多头,1.34,0.85,3.69,3.1,9080.21,8,51.1,0.8,-0.39,1.27,81.8,偏强，可积极寻找相对强势股,86.0,接近阶段平台高点，重点观察放量突破是否成立
25,600604,市北高新,,,79.6,75.1,64.0,59.9,早期修复,0.0247,45.0,57.0,3,96.0,前期上涨后回撤,18.36,-10.84,79.2,4.77,3.47,偏强上涨｜谨防追高,早期修复｜站稳5日线,4.56,4.61,4.73,4.48,54.6,中性,47.26,30.29,81.2,多头,1.96,0.46,-3.44,3.47,11341.5,7,54.0,2.0,4.24,-5.85,81.8,偏强，可积极寻找相对强势股,63.4,价格仍在20日线上方，但结构优势有限，等待进一步确认
26,603327,福蓉科技,,,83.6,86.1,63.6,66.0,早期修复,0.0838,21.3,33.5,4,96.0,正常修复,-3.42,-19.33,23.1,8.47,0.71,温和上涨,早期修复｜站稳5日线,8.36,8.52,9.01,8.79,39.65,中性,19.03,13.92,29.24,多头,1.01,0.5,-11.59,1.22,10998.84,8,42.8,-0.76,0.03,-14.0,81.8,偏强，可积极寻找相对强势股,81.9,结构偏弱，不建议因为低价或历史涨停次数单独介入
27,000990,诚志股份,,,78.8,94.1,63.5,39.1,修复中,0.0088,67.3,71.6,2,91.0,正常修复,13.42,-6.57,64.9,6.68,3.41,偏强上涨｜谨防追高,修复中｜站稳5日线,6.46,6.55,6.57,6.5,54.12,中性,36.91,31.19,48.35,多头,1.46,0.75,5.86,3.52,25048.88,6,55.0,1.93,1.16,3.45,81.8,偏强，可积极寻找相对强势股,81.8,价格仍在20日线上方，但结构优势有限，等待进一步确认
28,601933,永辉超市,,,79.8,89.1,63.3,49.9,修复中,0.0164,26.0,37.5,2,91.0,正常修复,6.21,-10.98,26.9,3.08,0.98,温和上涨,修复中｜站稳5日线,3.02,3.11,3.14,3.15,46.58,中性,21.44,21.57,21.18,空头,1.06,0.55,2.67,2.13,38334.86,5,48.9,-0.49,-0.64,0.25,81.8,偏强，可积极寻找相对强势股,88.6,结构偏弱，不建议因为低价或历史涨停次数单独介入
29,002627,三峡旅游,,,72.3,89.7,63.3,24.2,修复中,0.073,16.7,23.5,2,78.0,前期上涨后回撤,18.65,-9.37,36.3,6.87,1.48,温和上涨,修复中｜站稳5日线,6.72,6.9,7.03,6.41,51.81,中性,26.08,23.58,31.08,多头,1.1,0.53,5.21,1.48,7941.59,5,51.0,0.0,-0.26,2.79,81.8,偏强，可积极寻找相对强势股,84.7,结构偏弱，不建议因为低价或历史涨停次数单独介入
30,603106,恒银科技,,,80.2,83.1,63.3,66.9,修复中,0.0585,25.2,34.5,2,91.0,前期大涨后深回撤,7.33,-24.2,26.5,7.61,1.74,温和上涨,修复中｜站稳5日线,7.45,7.64,7.83,7.56,47.38,中性,19.05,20.18,16.8,空头,1.33,0.48,-0.26,4.09,13242.31,9,49.2,0.26,0.04,-2.67,81.8,偏强，可积极寻找相对强势股,75.0,结构偏弱，不建议因为低价或历史涨停次数单独介入
31,002427,尤夫股份,,,67.9,85.7,62.8,56.9,修复中,0.0499,11.5,14.1,2,69.0,正常修复,-11.39,-12.55,25.0,4.67,1.08,温和上涨,修复中｜站上5日线,4.62,4.73,4.82,4.51,49.07,中性,17.78,18.88,15.58,空头,1.03,0.37,1.74,1.08,4936.01,7,47.1,-0.39,-2.14,-0.67,81.8,偏强，可积极寻找相对强势股,84.3,结构偏弱，不建议因为低价或历史涨停次数单独介入
32,000802,北京文化,,,71.7,73.1,62.8,68.4,修复中,0.0159,39.3,41.6,2,72.0,前期大涨后深回撤,16.38,-37.6,43.1,4.05,3.05,偏强上涨｜谨防追高,修复中｜站上5日线,3.95,4.07,4.07,4.09,46.91,中性,30.73,31.47,29.25,空头,1.54,0.54,5.74,3.1,24320.34,7,50.9,1.58,-2.51,3.33,81.8,偏强，可积极寻找相对强势股,71.1,结构偏弱，不建议因为低价或历史涨停次数单独介入
33,603058,永吉股份,,,79.9,63.1,62.6,47.5,早期修复,0.0782,32.3,39.3,3,96.0,前期大涨后深回撤,1.11,-17.18,48.4,9.11,4.0,偏强上涨｜谨防追高,早期修复｜站稳5日线,8.77,9.0,9.33,9.13,47.83,中性,27.69,19.49,44.08,多头,1.85,0.5,3.29,4.0,9696.59,6,54.5,2.52,1.07,0.88,81.8,偏强，可积极寻找相对强势股,63.4,结构偏弱，不建议因为低价或历史涨停次数单独介入
34,600126,杭钢股份,,,81.5,93.1,61.9,54.1,早期修复,0.0241,34.8,48.4,5,90.0,前期大涨后深回撤,2.63,-16.8,33.3,6.24,0.97,温和上涨,早期修复｜站稳5日线,6.16,6.25,6.41,6.4,43.61,中性,21.68,16.8,31.43,多头,1.24,0.63,-9.17,2.82,18109.17,6,43.7,-0.5,-0.48,-11.58,81.8,偏强，可积极寻找相对强势股,88.0,结构偏弱，不建议因为低价或历史涨停次数单独介入
35,600191,华资实业,,,82.1,73.1,61.8,47.9,早期修复,0.1084,25.6,36.5,4,96.0,前期大涨后深回撤,6.33,-18.57,33.2,9.91,2.16,温和上涨,早期修复｜站稳5日线,9.67,9.96,10.38,9.87,46.03,中性,24.78,21.93,30.47,多头,1.69,0.66,-9.33,3.62,12857.28,6,50.6,0.69,5.04,-11.74,81.8,偏强，可积极寻找相对强势股,71.5,结构偏弱，不建议因为低价或历史涨停次数单独介入
36,002177,御银股份,,,75.7,77.1,61.8,30.6,修复中,0.0405,27.8,32.8,2,91.0,正常修复,4.32,-9.25,45.6,5.79,2.84,偏强上涨｜谨防追高,修复中｜站稳5日线,5.64,5.75,5.91,5.65,49.59,中性,28.24,22.45,39.81,多头,1.68,0.48,-0.34,2.84,13550.57,7,50.7,1.37,0.29,-2.76,81.8,偏强，可积极寻找相对强势股,61.1,结构偏弱，不建议因为低价或历史涨停次数单独介入
37,002328,新朋股份,,,75.9,55.7,60.9,68.7,修复中,0.1325,15.4,15.5,2,83.0,前期大涨后深回撤,17.73,-19.89,34.6,8.5,3.79,偏强上涨｜谨防追高,修复中｜站稳5日线,8.21,8.5,8.58,7.53,54.3,中性,19.92,20.05,19.66,空头,2.09,0.59,18.72,3.79,62342.9,8,60.2,2.18,0.26,16.3,81.8,偏强，可积极寻找相对强势股,68.3,结构偏弱，不建议因为低价或历史涨停次数单独介入
38,600724,宁波富达,,,75.5,90.1,60.0,35.2,修复中,0.0098,53.0,62.5,2,80.0,正常修复,-2.69,-12.91,53.1,5.06,2.02,温和上涨,修复中｜站稳5日线,4.93,5.02,5.07,5.08,50.07,中性,32.66,26.32,45.33,多头,1.06,0.79,1.61,2.52,3314.95,6,51.4,0.54,1.14,-0.81,81.8,偏强，可积极寻找相对强势股,87.5,结构偏弱，不建议因为低价或历史涨停次数单独介入
39,600173,卧龙新能,,,81.5,84.1,58.7,59.7,修复中,0.0287,33.5,42.4,2,86.0,正常修复,1.18,-7.82,44.4,6.01,2.04,温和上涨,修复中｜站稳5日线,5.87,6.0,6.11,6.05,46.95,中性,28.41,21.63,41.97,多头,1.24,0.89,0.0,2.04,2713.11,9,48.8,0.56,-0.79,-2.41,81.8,偏强，可积极寻找相对强势股,91.4,结构偏弱，不建议因为低价或历史涨停次数单独介入
40,002678,珠江钢琴,,,73.3,64.7,58.6,45.8,早期修复,0.0588,19.7,25.3,4,80.0,正常修复,3.25,-16.67,31.1,4.45,2.53,偏强上涨｜谨防追高,早期修复｜站上5日线,4.37,4.49,4.73,4.49,43.03,中性,22.01,19.77,26.49,多头,1.37,0.53,-7.29,2.53,4263.24,10,45.4,1.06,-1.51,-9.7,81.8,偏强，可积极寻找相对强势股,69.4,结构偏弱，不建议因为低价或历史涨停次数单独介入
41,600429,三元股份,,,83.6,96.1,58.2,44.3,早期修复,0.0261,20.6,28.3,3,96.0,正常修复,11.57,-7.03,40.7,4.63,1.09,温和上涨,早期修复｜站稳5日线,4.55,4.65,4.67,4.46,50.56,中性,32.51,32.0,33.54,多头,1.05,0.78,3.12,2.07,4878.58,5,48.8,-0.38,-1.07,0.71,81.8,偏强，可积极寻找相对强势股,93.2,结构偏弱，不建议因为低价或历史涨停次数单独介入
42,600170,上海建工,,,74.9,76.1,58.1,39.9,修复中,0.003,53.4,57.8,2,86.0,正常修复,1.82,-7.02,53.3,2.25,1.81,温和上涨,修复中｜站稳5日线,2.21,2.24,2.26,2.28,48.26,中性,34.58,28.55,46.63,多头,1.62,0.91,0.0,2.2,36896.98,7,48.9,0.34,-0.39,-2.41,81.8,偏强，可积极寻找相对强势股,68.8,结构偏弱，不建议因为低价或历史涨停次数单独介入
43,002721,金一文化,,,75.7,82.7,57.7,65.2,早期修复,0.0434,15.0,23.3,3,80.0,前期大涨后深回撤,25.0,-16.92,23.1,2.75,1.1,温和上涨,早期修复｜站稳5日线,2.7,2.78,2.9,2.61,48.03,中性,19.41,17.95,22.35,多头,1.05,0.34,-3.51,1.68,15087.01,7,45.6,-0.37,-1.29,-5.92,81.8,偏强，可积极寻找相对强势股,77.0,结构偏弱，不建议因为低价或历史涨停次数单独介入
44,000779,甘咨询,,,81.0,80.1,57.5,46.0,早期修复,0.0611,39.3,54.1,3,90.0,前期大涨后深回撤,16.13,-38.65,34.2,9.0,1.81,温和上涨,早期修复｜站稳5日线,8.71,9.0,9.53,10.31,43.0,中性,23.79,19.32,32.74,多头,1.05,0.59,-1.1,2.7,31077.18,5,49.7,0.34,0.87,-3.51,81.8,偏强，可积极寻找相对强势股,75.3,结构偏弱，不建议因为低价或历史涨停次数单独介入
45,600382,广东明珠,,,67.7,67.7,57.3,44.8,修复中,0.0281,16.4,20.5,2,80.0,正常修复,-8.89,-9.81,29.8,6.25,0.64,温和上涨,修复中｜站上5日线,6.22,6.31,6.4,6.28,45.39,中性,22.91,25.71,17.29,空头,2.32,0.93,-2.95,2.2,11621.13,7,45.6,-0.83,-0.97,-5.36,81.8,偏强，可积极寻找相对强势股,58.3,结构偏弱，不建议因为低价或历史涨停次数单独介入
46,002197,证通电子,,,75.8,81.1,57.0,53.4,修复中,0.0445,23.7,28.4,2,78.0,前期大涨后深回撤,18.58,-12.65,36.0,6.7,1.98,温和上涨,修复中｜站上5日线,6.59,6.71,6.84,6.59,47.33,中性,25.5,23.21,30.08,多头,1.53,0.87,4.2,1.98,13647.35,6,50.0,0.5,-1.44,1.79,81.8,偏强，可积极寻找相对强势股,80.9,结构偏弱，不建议因为低价或历史涨停次数单独介入
47,000546,金圆股份,,,66.1,79.7,56.9,50.6,修复中,0.0276,16.2,24.1,2,70.0,正常修复,-6.04,-14.26,28.3,4.51,0.45,低位震荡/轻微回落,修复中｜站稳5日线,4.48,4.57,4.67,4.59,43.03,中性,24.53,25.31,22.96,空头,1.62,0.88,-5.65,2.39,5640.34,10,42.8,-1.03,-2.39,-8.06,81.8,偏强，可积极寻找相对强势股,79.8,结构偏弱，不建议因为低价或历史涨停次数单独介入
48,600651,飞乐音响,,,84.1,93.1,56.8,51.5,早期修复,0.0282,25.1,37.4,4,100.0,正常修复,-4.39,-21.59,23.3,5.23,0.58,温和上涨,早期修复｜站稳5日线,5.18,5.3,5.45,5.55,37.34,中性,18.15,17.13,20.19,多头,1.02,0.72,-7.6,1.09,5744.71,5,43.7,-0.9,-0.71,-10.01,81.8,偏强，可积极寻找相对强势股,85.8,结构偏弱，不建议因为低价或历史涨停次数单独介入
49,002054,德美化工,,,82.1,84.1,56.0,41.6,早期修复,0.028,33.2,42.3,3,96.0,正常修复,6.05,-5.39,63.5,7.19,1.7,温和上涨,早期修复｜站稳5日线,7.05,7.13,7.24,7.05,50.61,中性,41.96,32.33,61.23,多头,1.03,0.81,0.42,1.94,4962.15,7,49.3,0.22,-0.02,-1.99,81.8,偏强，可积极寻找相对强势股,86.0,结构偏弱，不建议因为低价或历史涨停次数单独介入
50,002176,江特电机,,,62.1,72.7,55.9,60.3,修复中,0.0409,12.6,14.8,2,64.0,前期大涨后深回撤,-11.66,-18.63,25.0,8.56,0.35,低位震荡/轻微回落,修复中｜未站稳5日线,8.56,8.72,8.86,8.84,42.19,中性,26.69,30.77,18.52,空头,1.19,0.49,-6.45,2.7,26513.52,6,40.9,-1.12,-3.8,-8.86,81.8,偏强，可积极寻找相对强势股,71.6,结构偏弱，不建议因为低价或历史涨停次数单独介入
51,000783,长江证券,,,74.9,89.7,55.9,45.8,修复中,0.0681,20.0,30.8,2,78.0,正常修复,-9.95,-20.69,30.9,8.51,0.71,温和上涨,修复中｜站稳5日线,8.4,8.6,8.85,8.91,43.81,中性,21.54,18.31,28.02,多头,1.09,0.53,-1.39,1.93,54418.81,5,47.6,-0.76,0.26,-3.8,81.8,偏强，可积极寻找相对强势股,71.4,结构偏弱，不建议因为低价或历史涨停次数单独介入
52,000608,阳光股份,,,73.7,79.7,55.0,71.7,修复中,0.0699,17.9,20.0,2,75.0,前期大涨后深回撤,15.06,-12.21,25.0,7.26,2.25,温和上涨,修复中｜站上5日线,7.14,7.32,7.36,6.89,49.96,中性,17.78,22.42,8.52,空头,1.27,0.55,0.28,2.88,12727.57,8,50.5,0.78,0.53,-2.14,81.8,偏强，可积极寻找相对强势股,80.5,结构偏弱，不建议因为低价或历史涨停次数单独介入
53,601212,白银有色,,,61.1,60.7,54.4,83.5,修复中,0.1453,2.9,9.1,2,54.0,前期大涨后深回撤,21.22,-19.66,11.9,6.17,-1.91,低位震荡/轻微回落,修复中｜未站稳5日线,6.22,6.48,6.77,5.7,46.68,中性,16.05,21.55,5.07,空头,1.01,0.54,-7.91,3.8,130363.02,20,38.9,-3.38,-2.41,-10.32,81.8,偏强，可积极寻找相对强势股,74.4,结构偏弱，不建议因为低价或历史涨停次数单独介入
54,000008,神州高铁,,,75.0,84.1,54.1,48.3,修复中,0.0127,21.5,22.8,2,78.0,正常修复,3.83,-14.69,42.1,2.44,1.67,温和上涨,修复中｜站上5日线,2.41,2.45,2.48,2.42,48.26,中性,28.36,25.31,34.48,多头,1.33,0.85,-0.41,2.01,7253.54,5,46.9,0.19,-2.1,-2.82,81.8,偏强，可积极寻找相对强势股,71.5,结构偏弱，不建议因为低价或历史涨停次数单独介入
55,000785,居然智家,,,73.1,71.1,54.0,29.6,修复中,0.0091,40.0,41.5,2,83.0,正常修复,16.08,-4.15,58.3,2.31,3.59,偏强上涨｜谨防追高,修复中｜站上5日线,2.24,2.28,2.29,2.21,53.98,中性,36.23,31.62,45.44,多头,1.49,1.01,3.59,3.59,18216.5,5,52.2,2.11,-0.86,1.17,81.8,偏强，可积极寻找相对强势股,66.0,中期趋势仍在，但短线位置一般，更适合等待回踩确认
56,000955,欣龙控股,,,80.9,74.1,53.9,54.5,早期修复,0.0136,34.3,51.8,3,96.0,正常修复,-5.2,-14.66,61.7,4.19,0.48,低位震荡/轻微回落,早期修复｜站稳5日线,4.1,4.17,4.22,4.16,49.93,中性,48.6,39.49,66.81,多头,1.33,1.14,2.44,2.72,5210.97,8,48.7,-1.0,-0.08,0.03,81.8,偏强，可积极寻找相对强势股,86.0,结构偏弱，不建议因为低价或历史涨停次数单独介入
57,605388,均瑶健康,,,81.1,77.1,53.9,61.5,修复中,0.0562,24.7,26.3,2,83.0,前期上涨后回撤,22.87,-10.87,41.7,6.07,3.76,偏强上涨｜谨防追高,修复中｜站上5日线,5.88,6.07,6.13,5.69,51.26,中性,28.26,27.26,30.26,多头,1.16,0.7,3.06,3.76,3935.52,7,52.9,2.29,-0.12,0.64,81.8,偏强，可积极寻找相对强势股,81.6,结构偏弱，不建议因为低价或历史涨停次数单独介入
